CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-31-206-327-1001;1;1;;1;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-12;1;;;;;;;;;STOCKEE
CDI-31-206-327-1001;1;1;;2;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-12;2;;;;;;;;;STOCKEE
CDI-31-206-327-1001;1;1;;3;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-12;3;;;;;;;;;STOCKEE
CDI-31-206-327-1001;1;1;;4;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-12;4;;;;;;;;;STOCKEE
CDI-31-206-327-1001;1;1;;5;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-12;5;;;;;;;;;STOCKEE
CDI-31-206-327-1001;1;1;;6;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-12;6;;;;;;;;;STOCKEE
CDI-31-206-327-1001;1;1;;7;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;1;CDI-31-206-327-1025;1;1;;1;;;;EPISSUREE
CDI-31-206-327-1001;1;1;;8;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;2;CDI-31-206-327-1025;1;1;;2;;;;EPISSUREE
CDI-31-206-327-1001;1;1;;9;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;3;CDI-31-206-327-1025;1;1;;3;;;;EPISSUREE
CDI-31-206-327-1001;1;1;;10;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;4;CDI-31-206-327-1025;1;1;;4;;;;EPISSUREE
CDI-31-206-327-1001;1;1;;11;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;5;CDI-31-206-327-1025;1;1;;5;;;;EPISSUREE
CDI-31-206-327-1001;1;1;;12;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;6;CDI-31-206-327-1025;1;1;;6;;;;EPISSUREE
CDI-31-206-327-1001;2;1;;1;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;7;CDI-31-206-327-1025;1;1;;7;;;;EPISSUREE
CDI-31-206-327-1001;2;1;;2;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;8;CDI-31-206-327-1025;1;1;;8;;;;EPISSUREE
CDI-31-206-327-1001;2;1;;3;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;9;CDI-31-206-327-1025;1;1;;9;;;;EPISSUREE
CDI-31-206-327-1001;2;1;;4;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;10;CDI-31-206-327-1025;1;1;;10;;;;EPISSUREE
CDI-31-206-327-1001;2;1;;5;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;11;CDI-31-206-327-1025;1;1;;11;;;;EPISSUREE
CDI-31-206-327-1001;2;1;;6;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;12;CDI-31-206-327-1025;1;1;;12;;;;EPISSUREE
CDI-31-206-327-1001;2;1;;7;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;13;CDI-31-206-327-1025;2;1;;1;;;;EPISSUREE
CDI-31-206-327-1001;2;1;;8;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;14;CDI-31-206-327-1025;2;1;;2;;;;EPISSUREE
CDI-31-206-327-1001;2;1;;9;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;15;CDI-31-206-327-1025;2;1;;3;;;;EPISSUREE
CDI-31-206-327-1001;2;1;;10;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;16;CDI-31-206-327-1025;2;1;;4;;;;EPISSUREE
CDI-31-206-327-1001;2;1;;11;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;17;CDI-31-206-327-1025;2;1;;5;;;;EPISSUREE
CDI-31-206-327-1001;2;1;;12;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;18;CDI-31-206-327-1025;2;1;;6;;;;EPISSUREE
CDI-31-206-327-1001;3;1;;1;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;19;CDI-31-206-327-1025;2;1;;7;;;;EPISSUREE
CDI-31-206-327-1001;3;1;;2;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;20;CDI-31-206-327-1025;2;1;;8;;;;EPISSUREE
CDI-31-206-327-1001;3;1;;3;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;21;CDI-31-206-327-1025;2;1;;9;;;;EPISSUREE
CDI-31-206-327-1001;3;1;;4;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;22;CDI-31-206-327-1025;2;1;;10;;;;EPISSUREE
CDI-31-206-327-1001;3;1;;5;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;23;CDI-31-206-327-1025;2;1;;11;;;;EPISSUREE
CDI-31-206-327-1001;3;1;;6;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-01;24;CDI-31-206-327-1025;2;1;;12;;;;EPISSUREE
CDI-31-206-327-1001;3;1;;7;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;1;CDI-31-206-327-1025;3;1;;1;;;;EPISSUREE
CDI-31-206-327-1001;3;1;;8;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;2;CDI-31-206-327-1025;3;1;;2;;;;EPISSUREE
CDI-31-206-327-1001;3;1;;9;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;3;CDI-31-206-327-1025;3;1;;3;;;;EPISSUREE
CDI-31-206-327-1001;3;1;;10;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;4;CDI-31-206-327-1025;3;1;;4;;;;EPISSUREE
CDI-31-206-327-1001;3;1;;11;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;5;CDI-31-206-327-1025;3;1;;5;;;;EPISSUREE
CDI-31-206-327-1001;3;1;;12;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;6;CDI-31-206-327-1025;3;1;;6;;;;EPISSUREE
CDI-31-206-327-1001;4;1;;1;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;7;CDI-31-206-327-1025;3;1;;7;;;;EPISSUREE
CDI-31-206-327-1001;4;1;;2;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;8;CDI-31-206-327-1025;3;1;;8;;;;EPISSUREE
CDI-31-206-327-1001;4;1;;3;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;9;CDI-31-206-327-1025;3;1;;9;;;;EPISSUREE
CDI-31-206-327-1001;4;1;;4;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;10;CDI-31-206-327-1025;3;1;;10;;;;EPISSUREE
CDI-31-206-327-1001;4;1;;5;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;11;CDI-31-206-327-1025;3;1;;11;;;;EPISSUREE
CDI-31-206-327-1001;4;1;;6;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;12;CDI-31-206-327-1025;3;1;;12;;;;EPISSUREE
CDI-31-206-327-1001;4;1;;7;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;13;CDI-31-206-327-1025;4;1;;1;;;;EPISSUREE
CDI-31-206-327-1001;4;1;;8;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;14;CDI-31-206-327-1025;4;1;;2;;;;EPISSUREE
CDI-31-206-327-1001;4;1;;9;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;15;CDI-31-206-327-1025;4;1;;3;;;;EPISSUREE
CDI-31-206-327-1001;4;1;;10;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;16;CDI-31-206-327-1025;4;1;;4;;;;EPISSUREE
CDI-31-206-327-1001;4;1;;11;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;17;CDI-31-206-327-1025;4;1;;5;;;;EPISSUREE
CDI-31-206-327-1001;4;1;;12;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;18;CDI-31-206-327-1025;4;1;;6;;;;EPISSUREE
CDI-31-206-327-1001;5;1;;1;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;19;CDI-31-206-327-1025;4;1;;7;;;;EPISSUREE
CDI-31-206-327-1001;5;1;;2;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;20;CDI-31-206-327-1025;4;1;;8;;;;EPISSUREE
CDI-31-206-327-1001;5;1;;3;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;21;CDI-31-206-327-1025;4;1;;9;;;;EPISSUREE
CDI-31-206-327-1001;5;1;;4;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;22;CDI-31-206-327-1025;4;1;;10;;;;EPISSUREE
CDI-31-206-327-1001;5;1;;5;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;23;CDI-31-206-327-1025;4;1;;11;;;;EPISSUREE
CDI-31-206-327-1001;5;1;;6;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-02;24;CDI-31-206-327-1025;4;1;;12;;;;EPISSUREE
CDI-31-206-327-1001;5;1;;7;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-03;1;CDI-31-206-327-1025;5;1;;1;;;;EPISSUREE
CDI-31-206-327-1001;5;1;;8;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-03;2;CDI-31-206-327-1025;5;1;;2;;;;EPISSUREE
CDI-31-206-327-1001;5;1;;9;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-03;3;CDI-31-206-327-1025;5;1;;3;;;;EPISSUREE
CDI-31-206-327-1001;5;1;;10;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-03;4;CDI-31-206-327-1025;5;1;;4;;;;EPISSUREE
CDI-31-206-327-1001;5;1;;11;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-03;5;CDI-31-206-327-1025;5;1;;5;;;;EPISSUREE
CDI-31-206-327-1001;5;1;;12;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-03;6;CDI-31-206-327-1025;5;1;;6;;;;EPISSUREE
CDI-31-206-327-1001;6;1;;1;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-03;7;CDI-31-206-327-1025;5;1;;7;;;;EPISSUREE
CDI-31-206-327-1001;6;1;;2;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-03;8;CDI-31-206-327-1025;5;1;;8;;;;EPISSUREE
CDI-31-206-327-1001;6;1;;3;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-03;9;CDI-31-206-327-1025;5;1;;9;;;;EPISSUREE
CDI-31-206-327-1001;6;1;;4;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-03;10;CDI-31-206-327-1025;5;1;;10;;;;EPISSUREE
CDI-31-206-327-1001;6;1;;5;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-03;11;CDI-31-206-327-1025;5;1;;11;;;;EPISSUREE
CDI-31-206-327-1001;6;1;;6;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-03;12;CDI-31-206-327-1025;5;1;;12;;;;EPISSUREE
CDI-31-206-327-1001;6;1;;7;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-03;13;CDI-31-206-327-1025;6;1;;1;;;;EPISSUREE
CDI-31-206-327-1001;6;1;;8;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-03;14;CDI-31-206-327-1025;6;1;;2;;;;EPISSUREE
CDI-31-206-327-1001;6;1;;9;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-03;15;CDI-31-206-327-1025;6;1;;3;;;;EPISSUREE
CDI-31-206-327-1001;6;1;;10;;;;;;CHA-31584-1170;PBO-31-206-327-1001;CSE-03;16;CDI-31-206-327-1025;6;1;;4;;;;EPISSUREE
