CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-21-016-097-1008;1;1;;1;;;;IMB-21023-AABBL;;CMO-21023-53-0085;BTI-21-016-097-1008;CSE-02;1;;;;;;;;;STOCKEE
CDI-21-016-097-1008;1;1;;2;;;;IMB-21023-AABBL;;CMO-21023-53-0085;BTI-21-016-097-1008;CSE-02;2;;;;;;;;;STOCKEE
CDI-21-016-097-1008;1;1;;3;;;;IMB-21023-AABBL;;CMO-21023-53-0085;BTI-21-016-097-1008;CSE-02;3;;;;;;;;;STOCKEE
CDI-21-016-097-1008;1;1;;4;;;;IMB-21023-AABBL;;CMO-21023-53-0085;BTI-21-016-097-1008;CSE-02;4;;;;;;;;;STOCKEE
CDI-21-016-097-1008;1;1;;5;;;;IMB-21023-AABBL;;CMO-21023-53-0085;BTI-21-016-097-1008;CSE-02;5;;;;;;;;;STOCKEE
CDI-21-016-097-1008;1;1;;6;;;;IMB-21023-AABBL;;CMO-21023-53-0085;BTI-21-016-097-1008;CSE-02;6;;;;;;;;;STOCKEE
CDI-21-016-097-1008;1;1;;7;;;;IMB-21023-AABBL;;CMO-21023-53-0085;BTI-21-016-097-1008;CSE-02;13;;;;;;;;;STOCKEE
CDI-21-016-097-1008;1;1;;8;;;;IMB-21023-AABBL;;CMO-21023-53-0085;BTI-21-016-097-1008;CSE-02;14;;;;;;;;;STOCKEE
CDI-21-016-097-1008;1;1;;9;;;;IMB-21023-AABBL;;CMO-21023-53-0085;BTI-21-016-097-1008;CSE-02;15;;;;;;;;;STOCKEE
CDI-21-016-097-1008;1;1;;10;;;;IMB-21023-AABBL;;CMO-21023-53-0085;BTI-21-016-097-1008;CSE-02;16;;;;;;;;;STOCKEE
CDI-21-016-097-1008;1;1;;11;;;;IMB-21023-AABBL;;CMO-21023-53-0085;BTI-21-016-097-1008;CSE-02;17;;;;;;;;;STOCKEE
CDI-21-016-097-1008;1;1;;12;;;;IMB-21023-AABBL;;CMO-21023-53-0085;BTI-21-016-097-1008;CSE-02;18;;;;;;;;;STOCKEE
CDI-21-016-097-1013;1;1;;1;;;;IMB-21023-AAACR;;CMO-21023-53-0095;BTI-21-016-097-1013;CSE-02;1;;;;;;;;;STOCKEE
CDI-21-016-097-1013;1;1;;2;;;;IMB-21023-AAACR;;CMO-21023-53-0095;BTI-21-016-097-1013;CSE-02;2;;;;;;;;;STOCKEE
CDI-21-016-097-1013;1;1;;3;;;;IMB-21023-AAACR;;CMO-21023-53-0095;BTI-21-016-097-1013;CSE-02;3;;;;;;;;;STOCKEE
CDI-21-016-097-1013;1;1;;4;;;;IMB-21023-AAACR;;CMO-21023-53-0095;BTI-21-016-097-1013;CSE-02;4;;;;;;;;;STOCKEE
CDI-21-016-097-1013;1;1;;5;;;;IMB-21023-AAACR;;CMO-21023-53-0095;BTI-21-016-097-1013;CSE-02;5;;;;;;;;;STOCKEE
CDI-21-016-097-1013;1;1;;6;;;;IMB-21023-AAACR;;CMO-21023-53-0095;BTI-21-016-097-1013;CSE-02;6;;;;;;;;;STOCKEE
CDI-21-016-097-1013;1;1;;7;;;;IMB-21023-AAACR;;CMO-21023-53-0095;BTI-21-016-097-1013;CSE-02;13;;;;;;;;;STOCKEE
CDI-21-016-097-1013;1;1;;8;;;;IMB-21023-AAACR;;CMO-21023-53-0095;BTI-21-016-097-1013;CSE-02;14;;;;;;;;;STOCKEE
CDI-21-016-097-1013;1;1;;9;;;;IMB-21023-AAACR;;CMO-21023-53-0095;BTI-21-016-097-1013;CSE-02;15;;;;;;;;;STOCKEE
CDI-21-016-097-1013;1;1;;10;;;;IMB-21023-AAACR;;CMO-21023-53-0095;BTI-21-016-097-1013;CSE-02;16;;;;;;;;;STOCKEE
CDI-21-016-097-1013;1;1;;11;;;;IMB-21023-AAACR;;CMO-21023-53-0095;BTI-21-016-097-1013;CSE-02;17;;;;;;;;;STOCKEE
CDI-21-016-097-1013;1;1;;12;;;;IMB-21023-AAACR;;CMO-21023-53-0095;BTI-21-016-097-1013;CSE-02;18;;;;;;;;;STOCKEE
CDI-21-016-097-1021;1;1;;1;;;;IMB-21023-AAALT;;CMO-21023-53-0090;BTI-21-016-097-1021;CSE-02;1;;;;;;;;;STOCKEE
CDI-21-016-097-1021;1;1;;2;;;;IMB-21023-AAALT;;CMO-21023-53-0090;BTI-21-016-097-1021;CSE-02;2;;;;;;;;;STOCKEE
CDI-21-016-097-1021;1;1;;3;;;;IMB-21023-AAALT;;CMO-21023-53-0090;BTI-21-016-097-1021;CSE-02;3;;;;;;;;;STOCKEE
CDI-21-016-097-1021;1;1;;4;;;;IMB-21023-AAALT;;CMO-21023-53-0090;BTI-21-016-097-1021;CSE-02;4;;;;;;;;;STOCKEE
CDI-21-016-097-1021;1;1;;5;;;;IMB-21023-AAALT;;CMO-21023-53-0090;BTI-21-016-097-1021;CSE-02;5;;;;;;;;;STOCKEE
CDI-21-016-097-1021;1;1;;6;;;;IMB-21023-AAALT;;CMO-21023-53-0090;BTI-21-016-097-1021;CSE-02;6;;;;;;;;;STOCKEE
CDI-21-016-097-1021;1;1;;7;;;;IMB-21023-AAALT;;CMO-21023-53-0090;BTI-21-016-097-1021;CSE-02;13;;;;;;;;;STOCKEE
CDI-21-016-097-1021;1;1;;8;;;;IMB-21023-AAALT;;CMO-21023-53-0090;BTI-21-016-097-1021;CSE-02;14;;;;;;;;;STOCKEE
CDI-21-016-097-1021;1;1;;9;;;;IMB-21023-AAALT;;CMO-21023-53-0090;BTI-21-016-097-1021;CSE-02;15;;;;;;;;;STOCKEE
CDI-21-016-097-1021;1;1;;10;;;;IMB-21023-AAALT;;CMO-21023-53-0090;BTI-21-016-097-1021;CSE-02;16;;;;;;;;;STOCKEE
CDI-21-016-097-1021;1;1;;11;;;;IMB-21023-AAALT;;CMO-21023-53-0090;BTI-21-016-097-1021;CSE-02;17;;;;;;;;;STOCKEE
CDI-21-016-097-1021;1;1;;12;;;;IMB-21023-AAALT;;CMO-21023-53-0090;BTI-21-016-097-1021;CSE-02;18;;;;;;;;;STOCKEE
CDI-21-016-097-2011;1;1;;1;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;FOND DE BOITE;1;;;;;;;;;STOCKEE
CDI-21-016-097-2011;1;1;;2;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;FOND DE BOITE;2;;;;;;;;;STOCKEE
CDI-21-016-097-2011;1;1;;3;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;FOND DE BOITE;3;;;;;;;;;STOCKEE
CDI-21-016-097-2011;1;1;;4;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;FOND DE BOITE;4;;;;;;;;;STOCKEE
CDI-21-016-097-2011;1;1;;5;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;FOND DE BOITE;5;;;;;;;;;STOCKEE
CDI-21-016-097-2011;1;1;;6;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;FOND DE BOITE;6;;;;;;;;;STOCKEE
CDI-21-016-097-2011;1;1;;7;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;FOND DE BOITE;7;;;;;;;;;STOCKEE
CDI-21-016-097-2011;1;1;;8;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;FOND DE BOITE;8;;;;;;;;;STOCKEE
CDI-21-016-097-2011;1;1;;9;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;FOND DE BOITE;9;;;;;;;;;STOCKEE
CDI-21-016-097-2011;1;1;;10;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;FOND DE BOITE;10;;;;;;;;;STOCKEE
CDI-21-016-097-2011;1;1;;11;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;FOND DE BOITE;11;;;;;;;;;STOCKEE
CDI-21-016-097-2011;1;1;;12;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;FOND DE BOITE;12;;;;;;;;;STOCKEE
CDI-21-016-097-2011;2;1;;1;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-01;13;;;;;;;;;STOCKEE
CDI-21-016-097-2011;2;1;;2;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-01;14;;;;;;;;;STOCKEE
CDI-21-016-097-2011;2;1;;3;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-01;15;;;;;;;;;STOCKEE
CDI-21-016-097-2011;2;1;;4;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-01;16;;;;;;;;;STOCKEE
CDI-21-016-097-2011;2;1;;5;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-01;17;;;;;;;;;STOCKEE
CDI-21-016-097-2011;2;1;;6;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-01;18;;;;;;;;;STOCKEE
CDI-21-016-097-2011;2;1;;7;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-02;1;;;;;;;;;STOCKEE
CDI-21-016-097-2011;2;1;;8;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-02;2;;;;;;;;;STOCKEE
CDI-21-016-097-2011;2;1;;9;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-02;3;;;;;;;;;STOCKEE
CDI-21-016-097-2011;2;1;;10;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-02;4;;;;;;;;;STOCKEE
CDI-21-016-097-2011;2;1;;11;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-02;5;;;;;;;;;STOCKEE
CDI-21-016-097-2011;2;1;;12;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-02;6;;;;;;;;;STOCKEE
CDI-21-016-097-2011;3;1;;1;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-02;7;;;;;;;;;STOCKEE
CDI-21-016-097-2011;3;1;;2;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-02;8;;;;;;;;;STOCKEE
CDI-21-016-097-2011;3;1;;3;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-02;9;;;;;;;;;STOCKEE
CDI-21-016-097-2011;3;1;;4;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-01;19;;;;;;;;;STOCKEE
CDI-21-016-097-2011;3;1;;5;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-01;20;;;;;;;;;STOCKEE
CDI-21-016-097-2011;3;1;;6;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-01;21;;;;;;;;;STOCKEE
CDI-21-016-097-2011;3;1;;7;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-01;22;;;;;;;;;STOCKEE
CDI-21-016-097-2011;3;1;;8;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-01;23;;;;;;;;;STOCKEE
CDI-21-016-097-2011;3;1;;9;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-01;24;;;;;;;;;STOCKEE
CDI-21-016-097-2011;3;1;;10;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-01;25;;;;;;;;;STOCKEE
CDI-21-016-097-2011;3;1;;11;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-01;26;;;;;;;;;STOCKEE
CDI-21-016-097-2011;3;1;;12;;;;NOUVEAU;;CMO-21023-53-0100;BTI-21-016-097-2011;CSE-01;27;;;;;;;;;STOCKEE
CDI-21-016-097-3005;1;1;;1;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-06;1;;;;;;;;;STOCKEE
CDI-21-016-097-3005;1;1;;2;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-06;2;;;;;;;;;STOCKEE
CDI-21-016-097-3005;1;1;;3;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-06;3;;;;;;;;;STOCKEE
CDI-21-016-097-3005;1;1;;4;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-06;4;;;;;;;;;STOCKEE
CDI-21-016-097-3005;1;1;;5;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-06;5;;;;;;;;;STOCKEE
CDI-21-016-097-3005;1;1;;6;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-06;6;;;;;;;;;STOCKEE
CDI-21-016-097-3005;1;1;;7;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-06;7;;;;;;;;;STOCKEE
CDI-21-016-097-3005;1;1;;8;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-06;8;;;;;;;;;STOCKEE
CDI-21-016-097-3005;1;1;;9;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-06;9;;;;;;;;;STOCKEE
CDI-21-016-097-3005;1;1;;10;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-06;10;;;;;;;;;STOCKEE
CDI-21-016-097-3005;1;1;;11;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-06;11;;;;;;;;;STOCKEE
CDI-21-016-097-3005;1;1;;12;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-06;12;;;;;;;;;STOCKEE
CDI-21-016-097-3005;2;1;;1;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-05;1;;;;;;;;;STOCKEE
CDI-21-016-097-3005;2;1;;2;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-05;2;;;;;;;;;STOCKEE
CDI-21-016-097-3005;2;1;;3;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-05;3;;;;;;;;;STOCKEE
CDI-21-016-097-3005;2;1;;4;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-05;4;;;;;;;;;STOCKEE
CDI-21-016-097-3005;2;1;;5;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-05;5;;;;;;;;;STOCKEE
CDI-21-016-097-3005;2;1;;6;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-05;6;;;;;;;;;STOCKEE
CDI-21-016-097-3005;2;1;;7;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-05;7;;;;;;;;;STOCKEE
CDI-21-016-097-3005;2;1;;8;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-05;8;;;;;;;;;STOCKEE
CDI-21-016-097-3005;2;1;;9;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-05;9;;;;;;;;;STOCKEE
CDI-21-016-097-3005;2;1;;10;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-05;10;;;;;;;;;STOCKEE
CDI-21-016-097-3005;2;1;;11;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-05;11;;;;;;;;;STOCKEE
CDI-21-016-097-3005;2;1;;12;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-05;12;;;;;;;;;STOCKEE
CDI-21-016-097-3005;3;1;;1;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-04;1;;;;;;;;;STOCKEE
CDI-21-016-097-3005;3;1;;2;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-04;2;;;;;;;;;STOCKEE
CDI-21-016-097-3005;3;1;;3;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-04;3;;;;;;;;;STOCKEE
CDI-21-016-097-3005;3;1;;4;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-04;4;;;;;;;;;STOCKEE
CDI-21-016-097-3005;3;1;;5;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-04;5;;;;;;;;;STOCKEE
CDI-21-016-097-3005;3;1;;6;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-04;6;;;;;;;;;STOCKEE
CDI-21-016-097-3005;3;1;;7;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-04;13;;;;;;;;;STOCKEE
CDI-21-016-097-3005;3;1;;8;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-04;14;;;;;;;;;STOCKEE
CDI-21-016-097-3005;3;1;;9;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-04;15;;;;;;;;;STOCKEE
CDI-21-016-097-3005;3;1;;10;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-04;16;;;;;;;;;STOCKEE
CDI-21-016-097-3005;3;1;;11;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-04;17;;;;;;;;;STOCKEE
CDI-21-016-097-3005;3;1;;12;;;;IMB-21023-AABKX;;CMO-21023-17-0050;BTI-21-016-097-3005;CSE-04;18;;;;;;;;;STOCKEE
CDI-21-016-097-3006;1;1;;1;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-06;1;;;;;;;;;STOCKEE
CDI-21-016-097-3006;1;1;;2;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-06;2;;;;;;;;;STOCKEE
CDI-21-016-097-3006;1;1;;3;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-06;3;;;;;;;;;STOCKEE
CDI-21-016-097-3006;1;1;;4;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-06;4;;;;;;;;;STOCKEE
CDI-21-016-097-3006;1;1;;5;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-06;5;;;;;;;;;STOCKEE
CDI-21-016-097-3006;1;1;;6;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-06;6;;;;;;;;;STOCKEE
CDI-21-016-097-3006;1;1;;7;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-06;7;;;;;;;;;STOCKEE
CDI-21-016-097-3006;1;1;;8;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-06;8;;;;;;;;;STOCKEE
CDI-21-016-097-3006;1;1;;9;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-06;9;;;;;;;;;STOCKEE
CDI-21-016-097-3006;1;1;;10;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-06;10;;;;;;;;;STOCKEE
CDI-21-016-097-3006;1;1;;11;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-06;11;;;;;;;;;STOCKEE
CDI-21-016-097-3006;1;1;;12;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-06;12;;;;;;;;;STOCKEE
CDI-21-016-097-3006;2;1;;1;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-05;1;;;;;;;;;STOCKEE
CDI-21-016-097-3006;2;1;;2;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-05;2;;;;;;;;;STOCKEE
CDI-21-016-097-3006;2;1;;3;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-05;3;;;;;;;;;STOCKEE
CDI-21-016-097-3006;2;1;;4;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-05;4;;;;;;;;;STOCKEE
CDI-21-016-097-3006;2;1;;5;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-05;5;;;;;;;;;STOCKEE
CDI-21-016-097-3006;2;1;;6;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-05;6;;;;;;;;;STOCKEE
CDI-21-016-097-3006;2;1;;7;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-05;7;;;;;;;;;STOCKEE
CDI-21-016-097-3006;2;1;;8;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-05;8;;;;;;;;;STOCKEE
CDI-21-016-097-3006;2;1;;9;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-05;9;;;;;;;;;STOCKEE
CDI-21-016-097-3006;2;1;;10;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-05;10;;;;;;;;;STOCKEE
CDI-21-016-097-3006;2;1;;11;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-05;11;;;;;;;;;STOCKEE
CDI-21-016-097-3006;2;1;;12;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-05;12;;;;;;;;;STOCKEE
CDI-21-016-097-3006;3;1;;1;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-04;1;;;;;;;;;STOCKEE
CDI-21-016-097-3006;3;1;;2;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-04;2;;;;;;;;;STOCKEE
CDI-21-016-097-3006;3;1;;3;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-04;3;;;;;;;;;STOCKEE
CDI-21-016-097-3006;3;1;;4;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-04;4;;;;;;;;;STOCKEE
CDI-21-016-097-3006;3;1;;5;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-04;5;;;;;;;;;STOCKEE
CDI-21-016-097-3006;3;1;;6;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-04;6;;;;;;;;;STOCKEE
CDI-21-016-097-3006;3;1;;7;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-04;13;;;;;;;;;STOCKEE
CDI-21-016-097-3006;3;1;;8;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-04;14;;;;;;;;;STOCKEE
CDI-21-016-097-3006;3;1;;9;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-04;15;;;;;;;;;STOCKEE
CDI-21-016-097-3006;3;1;;10;;;;IMB-21023-AABKW;;CMO-21023-53-0070;BTI-21-016-097-3006;CSE-04;16;;;;;;;;;STOCKEE
