CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE ;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE ;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION ;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION ;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-21-011-071-1022;1;1;;1;;;;;;CMO-21297-4005;BTI-21-011-071-1022;CSE-01;1;;;;;;;;;STOCKEE
CDI-21-011-071-1022;1;1;;2;;;;;;CMO-21297-4005;BTI-21-011-071-1022;CSE-01;2;;;;;;;;;STOCKEE
CDI-21-011-071-1022;1;1;;3;;;;;;CMO-21297-4005;BTI-21-011-071-1022;CSE-01;3;;;;;;;;;STOCKEE
CDI-21-011-071-1022;1;1;;4;;;;;;CMO-21297-4005;BTI-21-011-071-1022;CSE-01;4;;;;;;;;;STOCKEE
CDI-21-011-071-1022;1;1;;5;;;;;;CMO-21297-4005;BTI-21-011-071-1022;CSE-01;5;;;;;;;;;STOCKEE
CDI-21-011-071-1022;1;1;;6;;;;;;CMO-21297-4005;BTI-21-011-071-1022;CSE-01;6;;;;;;;;;STOCKEE
CDI-21-011-071-1022;1;1;;7;;;;;;CMO-21297-4005;BTI-21-011-071-1022;CSE-01;;;;;;;;;;STOCKEE
CDI-21-011-071-1022;1;1;;8;;;;;;CMO-21297-4005;BTI-21-011-071-1022;CSE-01;;;;;;;;;;STOCKEE
CDI-21-011-071-1022;1;1;;9;;;;;;CMO-21297-4005;BTI-21-011-071-1022;CSE-01;;;;;;;;;;STOCKEE
CDI-21-011-071-1022;1;1;;10;;;;;;CMO-21297-4005;BTI-21-011-071-1022;CSE-01;;;;;;;;;;STOCKEE
CDI-21-011-071-1022;1;1;;11;;;;;;CMO-21297-4005;BTI-21-011-071-1022;CSE-01;;;;;;;;;;STOCKEE
CDI-21-011-071-1022;1;1;;12;;;;;;CMO-21297-4005;BTI-21-011-071-1022;CSE-01;;;;;;;;;;STOCKEE
CDI-21-011-071-2006;1;1;;1;;;;;;CMO-21716-4010;BTI-21-011-071-2006;CSE-01;;;;;;;;;;STOCKEE
