CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-21-017-103-3001;1;1;;1;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-09;1;;;;;;;;;STOCKEE
CDI-21-017-103-3001;1;1;;2;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-09;2;;;;;;;;;STOCKEE
CDI-21-017-103-3001;1;1;;3;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-09;3;;;;;;;;;STOCKEE
CDI-21-017-103-3001;1;1;;4;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-09;4;;;;;;;;;STOCKEE
CDI-21-017-103-3001;1;1;;5;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-09;5;;;;;;;;;STOCKEE
CDI-21-017-103-3001;1;1;;6;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-09;6;;;;;;;;;STOCKEE
CDI-21-017-103-3001;1;1;;7;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-08;1;;;;;;;;;STOCKEE
CDI-21-017-103-3001;1;1;;8;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-08;2;;;;;;;;;STOCKEE
CDI-21-017-103-3001;1;1;;9;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-08;3;;;;;;;;;STOCKEE
CDI-21-017-103-3001;1;1;;10;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-08;4;;;;;;;;;STOCKEE
CDI-21-017-103-3001;1;1;;11;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-08;5;;;;;;;;;STOCKEE
CDI-21-017-103-3001;1;1;;12;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-08;6;;;;;;;;;STOCKEE
CDI-21-017-103-3001;2;1;;1;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-06;1;;;;;;;;;STOCKEE
CDI-21-017-103-3001;2;1;;2;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-06;2;;;;;;;;;STOCKEE
CDI-21-017-103-3001;2;1;;3;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-06;3;;;;;;;;;STOCKEE
CDI-21-017-103-3001;2;1;;4;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-06;4;;;;;;;;;STOCKEE
CDI-21-017-103-3001;2;1;;5;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-06;5;;;;;;;;;STOCKEE
CDI-21-017-103-3001;2;1;;6;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-06;6;;;;;;;;;STOCKEE
CDI-21-017-103-3001;2;1;;7;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-06;7;;;;;;;;;STOCKEE
CDI-21-017-103-3001;2;1;;8;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-06;8;;;;;;;;;STOCKEE
CDI-21-017-103-3001;2;1;;9;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-06;9;;;;;;;;;STOCKEE
CDI-21-017-103-3001;2;1;;10;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-06;10;;;;;;;;;STOCKEE
CDI-21-017-103-3001;2;1;;11;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-06;11;;;;;;;;;STOCKEE
CDI-21-017-103-3001;2;1;;12;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-06;12;;;;;;;;;STOCKEE
CDI-21-017-103-3001;3;1;;1;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-05;1;;;;;;;;;STOCKEE
CDI-21-017-103-3001;3;1;;2;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-05;2;;;;;;;;;STOCKEE
CDI-21-017-103-3001;3;1;;3;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-05;3;;;;;;;;;STOCKEE
CDI-21-017-103-3001;3;1;;4;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-05;4;;;;;;;;;STOCKEE
CDI-21-017-103-3001;3;1;;5;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-05;5;;;;;;;;;STOCKEE
CDI-21-017-103-3001;3;1;;6;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-05;6;;;;;;;;;STOCKEE
CDI-21-017-103-3001;3;1;;7;;;;;;CHA-21427-4173;PBO-21-017-103-3001;CSE-05;7;;;;;;;;;STOCKEE
