CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-31-206-293-3005;1;1;;1;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-06;1;;;;;;;;;STOCKEE
CDI-31-206-293-3005;1;1;;2;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-06;2;;;;;;;;;STOCKEE
CDI-31-206-293-3005;1;1;;3;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-06;3;;;;;;;;;STOCKEE
CDI-31-206-293-3005;1;1;;4;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-06;4;;;;;;;;;STOCKEE
CDI-31-206-293-3005;1;1;;5;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-06;5;;;;;;;;;STOCKEE
CDI-31-206-293-3005;1;1;;6;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-06;6;;;;;;;;;STOCKEE
CDI-31-206-293-3005;1;1;;7;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-06;7;;;;;;;;;STOCKEE
CDI-31-206-293-3005;1;1;;8;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-06;8;;;;;;;;;STOCKEE
CDI-31-206-293-3005;1;1;;9;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-06;9;;;;;;;;;STOCKEE
CDI-31-206-293-3005;1;1;;10;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-06;10;;;;;;;;;STOCKEE
CDI-31-206-293-3005;1;1;;11;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-06;11;;;;;;;;;STOCKEE
CDI-31-206-293-3005;1;1;;12;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-06;12;;;;;;;;;STOCKEE
CDI-31-206-293-3005;2;1;;1;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-05;1;;;;;;;;;STOCKEE
CDI-31-206-293-3005;2;1;;2;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-05;2;;;;;;;;;STOCKEE
CDI-31-206-293-3005;2;1;;3;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-05;3;;;;;;;;;STOCKEE
CDI-31-206-293-3005;2;1;;4;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-05;4;;;;;;;;;STOCKEE
CDI-31-206-293-3005;2;1;;5;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-05;5;;;;;;;;;STOCKEE
CDI-31-206-293-3005;2;1;;6;;;;;;IMM-31584-6004;BTI-31-206-293-3005;CSE-05;6;;;;;;;;;STOCKEE
