CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-85-018-259-1009;1;1;;1;;;;;;CHA-85254-7222;PBO-85-018-259-1009;CSE-03;1;;;;;;;;;STOCKEE
CDI-85-018-259-1009;1;1;;2;;;;;;CHA-85254-7222;PBO-85-018-259-1009;CSE-03;2;;;;;;;;;STOCKEE
CDI-85-018-259-1009;1;1;;3;;;;;;CHA-85254-7222;PBO-85-018-259-1009;CSE-03;3;;;;;;;;;STOCKEE
CDI-85-018-259-1009;1;1;;4;;;;;;CHA-85254-7222;PBO-85-018-259-1009;CSE-03;4;;;;;;;;;STOCKEE
CDI-85-018-259-1009;1;1;;5;;;;;;CHA-85254-7222;PBO-85-018-259-1009;CSE-03;5;;;;;;;;;STOCKEE
CDI-85-018-259-1009;1;1;;6;;;;;;CHA-85254-7222;PBO-85-018-259-1009;CSE-03;6;;;;;;;;;STOCKEE
CDI-85-018-259-1009;1;1;;7;;;;;;CHA-85254-7222;PBO-85-018-259-1009;CSE-03;7;;;;;;;;;STOCKEE
CDI-85-018-259-1009;1;1;;8;;;;;;CHA-85254-7222;PBO-85-018-259-1009;CSE-03;8;;;;;;;;;STOCKEE
CDI-85-018-259-1009;1;1;;9;;;;;;CHA-85254-7222;PBO-85-018-259-1009;CSE-03;9;;;;;;;;;STOCKEE
CDI-85-018-259-1009;1;1;;10;;;;;;CHA-85254-7222;PBO-85-018-259-1009;FOND DE BOITE;1;;;;;;;;;STOCKEE
CDI-85-018-259-1009;1;1;;11;;;;;;CHA-85254-7222;PBO-85-018-259-1009;FOND DE BOITE;2;;;;;;;;;STOCKEE
CDI-85-018-259-1009;1;1;;12;;;;;;CHA-85254-7222;PBO-85-018-259-1009;FOND DE BOITE;3;;;;;;;;;STOCKEE
CDI-85-018-259-1009;2;1;;1;;;;;;CHA-85254-7222;PBO-85-018-259-1009;FOND DE BOITE;4;;;;;;;;;STOCKEE
CDI-85-018-259-1009;2;1;;2;;;;;;CHA-85254-7222;PBO-85-018-259-1009;FOND DE BOITE;5;;;;;;;;;STOCKEE
CDI-85-018-259-1009;2;1;;3;;;;;;CHA-85254-7222;PBO-85-018-259-1009;FOND DE BOITE;6;;;;;;;;;STOCKEE
CDI-85-018-259-1009;2;1;;4;;;;;;CHA-85254-7222;PBO-85-018-259-1009;FOND DE BOITE;7;;;;;;;;;STOCKEE
CDI-85-018-259-1009;2;1;;5;;;;;;CHA-85254-7222;PBO-85-018-259-1009;FOND DE BOITE;8;;;;;;;;;STOCKEE
CDI-85-018-259-1009;2;1;;6;;;;;;CHA-85254-7222;PBO-85-018-259-1009;FOND DE BOITE;9;;;;;;;;;STOCKEE
CDI-85-018-259-1009;2;1;;7;;;;;;CHA-85254-7222;PBO-85-018-259-1009;FOND DE BOITE;10;;;;;;;;;STOCKEE
CDI-85-018-259-1009;2;1;;8;;;;;;CHA-85254-7222;PBO-85-018-259-1009;FOND DE BOITE;11;;;;;;;;;STOCKEE
CDI-85-018-259-1009;2;1;;9;;;;;;CHA-85254-7222;PBO-85-018-259-1009;FOND DE BOITE;12;;;;;;;;;STOCKEE
CDI-85-018-259-1009;2;1;;10;;;;;;CHA-85254-7222;PBO-85-018-259-1009;FOND DE BOITE;13;;;;;;;;;STOCKEE
CDI-85-018-259-1009;2;1;;11;;;;;;CHA-85254-7222;PBO-85-018-259-1009;FOND DE BOITE;14;;;;;;;;;STOCKEE
CDI-85-018-259-1009;2;1;;12;;;;;;CHA-85254-7222;PBO-85-018-259-1009;FOND DE BOITE;15;;;;;;;;;STOCKEE
CDI-85-018-259-1013;1;1;;1;;;;;;CHA-85254-7205;PBO-85-018-259-1013;FOND DE BOITE;1;;;;;;;;;STOCKEE
CDI-85-018-259-1013;1;1;;2;;;;;;CHA-85254-7205;PBO-85-018-259-1013;FOND DE BOITE;2;;;;;;;;;STOCKEE
CDI-85-018-259-1013;1;1;;3;;;;;;CHA-85254-7205;PBO-85-018-259-1013;FOND DE BOITE;3;;;;;;;;;STOCKEE
CDI-85-018-259-1013;1;1;;4;;;;;;CHA-85254-7205;PBO-85-018-259-1013;FOND DE BOITE;4;;;;;;;;;STOCKEE
CDI-85-018-259-1013;1;1;;5;;;;;;CHA-85254-7205;PBO-85-018-259-1013;FOND DE BOITE;5;;;;;;;;;STOCKEE
CDI-85-018-259-1013;1;1;;6;;;;;;CHA-85254-7205;PBO-85-018-259-1013;FOND DE BOITE;6;;;;;;;;;STOCKEE
CDI-85-018-259-1013;1;1;;7;;;;;;CHA-85254-7205;PBO-85-018-259-1013;FOND DE BOITE;7;;;;;;;;;STOCKEE
CDI-85-018-259-1013;1;1;;8;;;;;;CHA-85254-7205;PBO-85-018-259-1013;FOND DE BOITE;8;;;;;;;;;STOCKEE
CDI-85-018-259-1013;1;1;;9;;;;;;CHA-85254-7205;PBO-85-018-259-1013;FOND DE BOITE;9;;;;;;;;;STOCKEE
CDI-85-018-259-1013;1;1;;10;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-03;1;;;;;;;;;STOCKEE
CDI-85-018-259-1013;1;1;;11;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-03;2;;;;;;;;;STOCKEE
CDI-85-018-259-1013;1;1;;12;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-03;3;;;;;;;;;STOCKEE
CDI-85-018-259-1013;2;1;;1;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-03;4;;;;;;;;;STOCKEE
CDI-85-018-259-1013;2;1;;2;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-03;5;;;;;;;;;STOCKEE
CDI-85-018-259-1013;2;1;;3;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-03;6;;;;;;;;;STOCKEE
CDI-85-018-259-1013;2;1;;4;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-03;7;;;;;;;;;STOCKEE
CDI-85-018-259-1013;2;1;;5;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-03;8;;;;;;;;;STOCKEE
CDI-85-018-259-1013;2;1;;6;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-03;9;;;;;;;;;STOCKEE
CDI-85-018-259-1013;2;1;;7;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-01;1;CDI-85-018-259-1014;1;1;;1;;;;EPISSUREE
CDI-85-018-259-1013;2;1;;8;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-01;2;CDI-85-018-259-1014;1;1;;2;;;;EPISSUREE
CDI-85-018-259-1013;2;1;;9;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-01;3;CDI-85-018-259-1014;1;1;;3;;;;EPISSUREE
CDI-85-018-259-1013;2;1;;10;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-01;4;CDI-85-018-259-1014;1;1;;4;;;;EPISSUREE
CDI-85-018-259-1013;2;1;;11;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-01;5;CDI-85-018-259-1014;1;1;;5;;;;EPISSUREE
CDI-85-018-259-1013;2;1;;12;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-01;6;CDI-85-018-259-1014;1;1;;6;;;;EPISSUREE
CDI-85-018-259-1013;3;1;;1;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-01;7;CDI-85-018-259-1015;1;1;;1;;;;EPISSUREE
CDI-85-018-259-1013;3;1;;2;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-01;8;CDI-85-018-259-1015;1;1;;2;;;;EPISSUREE
CDI-85-018-259-1013;3;1;;3;;;;;;CHA-85254-7205;PBO-85-018-259-1013;CSE-01;9;CDI-85-018-259-1015;1;1;;3;;;;EPISSUREE
CDI-85-018-259-1013;3;1;;4;;;;;;CHA-85254-7205;PBO-85-018-259-1013;FOND DE BOITE;10;;;;;;;;;STOCKEE
CDI-85-018-259-1013;3;1;;5;;;;;;CHA-85254-7205;PBO-85-018-259-1013;FOND DE BOITE;11;;;;;;;;;STOCKEE
CDI-85-018-259-1013;3;1;;6;;;;;;CHA-85254-7205;PBO-85-018-259-1013;FOND DE BOITE;12;;;;;;;;;STOCKEE
