CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-85-048-570-1002;1;1;;1;;;;;;CHA-85031-7020;PBO-85-048-570-1002;CSE-12;1;;;;;;;;;STOCKEE
CDI-85-048-570-1002;1;1;;2;;;;;;CHA-85031-7020;PBO-85-048-570-1002;CSE-12;2;;;;;;;;;STOCKEE
CDI-85-048-570-1002;1;1;;3;;;;;;CHA-85031-7020;PBO-85-048-570-1002;CSE-12;3;;;;;;;;;STOCKEE
CDI-85-048-570-1002;1;1;;4;;;;;;CHA-85031-7020;PBO-85-048-570-1002;CSE-12;4;;;;;;;;;STOCKEE
CDI-85-048-570-1002;1;1;;5;;;;;;CHA-85031-7020;PBO-85-048-570-1002;CSE-12;5;;;;;;;;;STOCKEE
CDI-85-048-570-1002;1;1;;6;;;;;;CHA-85031-7020;PBO-85-048-570-1002;CSE-12;6;;;;;;;;;STOCKEE
CDI-85-048-570-1002;1;1;;7;;;;;;CHA-85031-7020;PBO-85-048-570-1002;CSE-12;7;CDI-85-048-570-1003;1;1;;7;;;;EN PASSAGE
CDI-85-048-570-1002;1;1;;8;;;;;;CHA-85031-7020;PBO-85-048-570-1002;CSE-12;8;CDI-85-048-570-1003;1;1;;8;;;;EN PASSAGE
CDI-85-048-570-1002;1;1;;9;;;;;;CHA-85031-7020;PBO-85-048-570-1002;CSE-12;9;CDI-85-048-570-1003;1;1;;9;;;;EN PASSAGE
CDI-85-048-570-1002;1;1;;10;;;;;;CHA-85031-7020;PBO-85-048-570-1002;CSE-12;10;CDI-85-048-570-1003;1;1;;10;;;;EN PASSAGE
CDI-85-048-570-1002;1;1;;11;;;;;;CHA-85031-7020;PBO-85-048-570-1002;CSE-12;11;CDI-85-048-570-1003;1;1;;11;;;;EN PASSAGE
CDI-85-048-570-1002;1;1;;12;;;;;;CHA-85031-7020;PBO-85-048-570-1002;CSE-12;12;CDI-85-048-570-1003;1;1;;12;;;;EN PASSAGE
CDI-85-048-570-1002;2;1;;1;;;;;;CHA-85031-7020;PBO-85-048-570-1002;FOND DE BOITE;1;CDI-85-048-570-1003;2;1;;1;;;;EN PASSAGE
CDI-85-048-570-1002;2;1;;2;;;;;;CHA-85031-7020;PBO-85-048-570-1002;FOND DE BOITE;2;CDI-85-048-570-1003;2;1;;2;;;;EN PASSAGE
CDI-85-048-570-1002;2;1;;3;;;;;;CHA-85031-7020;PBO-85-048-570-1002;FOND DE BOITE;3;CDI-85-048-570-1003;2;1;;3;;;;EN PASSAGE
CDI-85-048-570-1002;2;1;;4;;;;;;CHA-85031-7020;PBO-85-048-570-1002;FOND DE BOITE;4;CDI-85-048-570-1003;2;1;;4;;;;EN PASSAGE
CDI-85-048-570-1002;2;1;;5;;;;;;CHA-85031-7020;PBO-85-048-570-1002;FOND DE BOITE;5;CDI-85-048-570-1003;2;1;;5;;;;EN PASSAGE
CDI-85-048-570-1002;2;1;;6;;;;;;CHA-85031-7020;PBO-85-048-570-1002;FOND DE BOITE;6;CDI-85-048-570-1003;2;1;;6;;;;EN PASSAGE
CDI-85-048-570-1002;2;1;;7;;;;;;CHA-85031-7020;PBO-85-048-570-1002;FOND DE BOITE;7;CDI-85-048-570-1003;2;1;;7;;;;EN PASSAGE
CDI-85-048-570-1002;2;1;;8;;;;;;CHA-85031-7020;PBO-85-048-570-1002;FOND DE BOITE;8;CDI-85-048-570-1003;2;1;;8;;;;EN PASSAGE
CDI-85-048-570-1002;2;1;;9;;;;;;CHA-85031-7020;PBO-85-048-570-1002;FOND DE BOITE;9;CDI-85-048-570-1003;2;1;;9;;;;EN PASSAGE
CDI-85-048-570-1002;2;1;;10;;;;;;CHA-85031-7020;PBO-85-048-570-1002;FOND DE BOITE;10;CDI-85-048-570-1003;2;1;;10;;;;EN PASSAGE
CDI-85-048-570-1002;2;1;;11;;;;;;CHA-85031-7020;PBO-85-048-570-1002;FOND DE BOITE;11;CDI-85-048-570-1003;2;1;;11;;;;EN PASSAGE
CDI-85-048-570-1002;2;1;;12;;;;;;CHA-85031-7020;PBO-85-048-570-1002;FOND DE BOITE;12;CDI-85-048-570-1003;2;1;;12;;;;EN PASSAGE
CDI-85-048-570-1002;3;1;;1;;;;;;CHA-85031-7020;PBO-85-048-570-1002;FOND DE BOITE;13;CDI-85-048-570-1003;3;1;;1;;;;EN PASSAGE
CDI-85-048-570-1002;3;1;;2;;;;;;CHA-85031-7020;PBO-85-048-570-1002;FOND DE BOITE;14;CDI-85-048-570-1003;3;1;;2;;;;EN PASSAGE
CDI-85-048-570-1002;3;1;;3;;;;;;CHA-85031-7020;PBO-85-048-570-1002;FOND DE BOITE;15;CDI-85-048-570-1003;3;1;;3;;;;EN PASSAGE
CDI-85-048-570-1002;3;1;;4;;;;;;CHA-85031-7020;PBO-85-048-570-1002;FOND DE BOITE;16;CDI-85-048-570-1003;3;1;;4;;;;EN PASSAGE
CDI-85-048-570-1002;3;1;;5;;;;;;CHA-85031-7020;PBO-85-048-570-1002;FOND DE BOITE;17;CDI-85-048-570-1003;3;1;;5;;;;EN PASSAGE
