CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-85-066-747-2004;1;1;;1;;;;IMB-85154-AAAEH;;CMO-85154-7409;BET-85-066-747-2004;CSE-01;1;;;;;;;;;STOCKEE
CDI-85-066-747-2004;1;1;;2;;;;IMB-85154-AAAEH;;CMO-85154-7409;BET-85-066-747-2004;CSE-01;2;;;;;;;;;STOCKEE
CDI-85-066-747-2004;1;1;;3;;;;IMB-85154-AAAEH;;CMO-85154-7409;BET-85-066-747-2004;CSE-01;3;;;;;;;;;STOCKEE
CDI-85-066-747-2004;1;1;;4;;;;IMB-85154-AAAEH;;CMO-85154-7409;BET-85-066-747-2004;CSE-01;4;;;;;;;;;STOCKEE
CDI-85-066-747-2004;1;1;;5;;;;IMB-85154-AAAEH;;CMO-85154-7409;BET-85-066-747-2004;CSE-01;5;;;;;;;;;STOCKEE
CDI-85-066-747-2004;1;1;;6;;;;IMB-85154-AAAEH;;CMO-85154-7409;BET-85-066-747-2004;CSE-01;6;;;;;;;;;STOCKEE
CDI-85-066-747-2004;1;1;;7;;;;IMB-85154-AAAEH;;CMO-85154-7409;BET-85-066-747-2004;FOND DE BOITE;1;;;;;;;;;STOCKEE
CDI-85-066-747-2004;1;1;;8;;;;IMB-85154-AAAEH;;CMO-85154-7409;BET-85-066-747-2004;FOND DE BOITE;2;;;;;;;;;STOCKEE
CDI-85-066-747-2004;1;1;;9;;;;IMB-85154-AAAEH;;CMO-85154-7409;BET-85-066-747-2004;FOND DE BOITE;3;;;;;;;;;STOCKEE
CDI-85-066-747-2004;1;1;;10;;;;IMB-85154-AAAEH;;CMO-85154-7409;BET-85-066-747-2004;FOND DE BOITE;4;;;;;;;;;STOCKEE
CDI-85-066-747-2004;1;1;;11;;;;IMB-85154-AAAEH;;CMO-85154-7409;BET-85-066-747-2004;FOND DE BOITE;5;;;;;;;;;STOCKEE
CDI-85-066-747-2004;1;1;;12;;;;IMB-85154-AAAEH;;CMO-85154-7409;BET-85-066-747-2004;FOND DE BOITE;6;;;;;;;;;STOCKEE
CDI-85-066-747-2026;1;1;;1;;;;IMB-85154-AAAEG;;CMO-85154-7410;BET-85-066-747-2026;CSE-01;1;;;;;;;;;STOCKEE
CDI-85-066-747-2026;1;1;;2;;;;IMB-85154-AAAEG;;CMO-85154-7410;BET-85-066-747-2026;CSE-01;2;;;;;;;;;STOCKEE
CDI-85-066-747-2026;1;1;;3;;;;IMB-85154-AAAEG;;CMO-85154-7410;BET-85-066-747-2026;CSE-01;3;;;;;;;;;STOCKEE
CDI-85-066-747-2026;1;1;;4;;;;IMB-85154-AAAEG;;CMO-85154-7410;BET-85-066-747-2026;CSE-01;4;;;;;;;;;STOCKEE
CDI-85-066-747-2026;1;1;;5;;;;IMB-85154-AAAEG;;CMO-85154-7410;BET-85-066-747-2026;CSE-01;5;;;;;;;;;STOCKEE
CDI-85-066-747-2026;1;1;;6;;;;IMB-85154-AAAEG;;CMO-85154-7410;BET-85-066-747-2026;CSE-01;6;;;;;;;;;STOCKEE
