CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-85-076-811-1001;1;;;1;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;1;CDI-85-076-811-1009;1;;;1;;;;EPISSUREE
CDI-85-076-811-1001;1;;;2;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;2;CDI-85-076-811-1009;1;;;2;;;;EPISSUREE
CDI-85-076-811-1001;1;;;3;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;3;CDI-85-076-811-1009;1;;;3;;;;EPISSUREE
CDI-85-076-811-1001;1;;;4;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;4;CDI-85-076-811-1009;1;;;4;;;;EPISSUREE
CDI-85-076-811-1001;1;;;5;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;5;CDI-85-076-811-1009;1;;;5;;;;EPISSUREE
CDI-85-076-811-1001;1;;;6;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;6;CDI-85-076-811-1009;1;;;6;;;;EPISSUREE
CDI-85-076-811-1001;22;;;1;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;7;CDI-85-076-811-1009;1;;;7;;;;EPISSUREE
CDI-85-076-811-1001;1;;;8;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;8;CDI-85-076-811-1009;1;;;8;;;;EPISSUREE
CDI-85-076-811-1001;1;;;9;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;9;CDI-85-076-811-1009;1;;;9;;;;EPISSUREE
CDI-85-076-811-1001;22;;;2;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;10;CDI-85-076-811-1009;1;;;10;;;;EPISSUREE
CDI-85-076-811-1001;1;;;11;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;11;CDI-85-076-811-1009;1;;;11;;;;EPISSUREE
CDI-85-076-811-1001;1;;;12;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;12;CDI-85-076-811-1009;1;;;12;;;;EPISSUREE
CDI-85-076-811-1001;2;;;1;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;13;CDI-85-076-811-1009;2;;;1;;;;EPISSUREE
CDI-85-076-811-1001;2;;;2;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;14;CDI-85-076-811-1009;2;;;2;;;;EPISSUREE
CDI-85-076-811-1001;2;;;3;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;15;CDI-85-076-811-1009;2;;;3;;;;EPISSUREE
CDI-85-076-811-1001;2;;;4;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;16;CDI-85-076-811-1009;2;;;4;;;;EPISSUREE
CDI-85-076-811-1001;2;;;5;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;17;CDI-85-076-811-1009;2;;;5;;;;EPISSUREE
CDI-85-076-811-1001;2;;;6;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;18;CDI-85-076-811-1009;2;;;6;;;;EPISSUREE
CDI-85-076-811-1001;2;;;7;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;19;CDI-85-076-811-1009;2;;;7;;;;EPISSUREE
CDI-85-076-811-1001;2;;;8;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;20;CDI-85-076-811-1009;2;;;8;;;;EPISSUREE
CDI-85-076-811-1001;2;;;9;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;21;CDI-85-076-811-1009;2;;;9;;;;EPISSUREE
CDI-85-076-811-1001;2;;;10;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;22;CDI-85-076-811-1009;2;;;10;;;;EPISSUREE
CDI-85-076-811-1001;2;;;11;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;23;CDI-85-076-811-1009;2;;;11;;;;EPISSUREE
CDI-85-076-811-1001;2;;;12;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-01;24;CDI-85-076-811-1009;2;;;12;;;;EPISSUREE
CDI-85-076-811-1001;3;;;1;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-02;1;CDI-85-076-811-1009;3;;;1;;;;EPISSUREE
CDI-85-076-811-1001;3;;;2;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-02;2;CDI-85-076-811-1009;3;;;2;;;;EPISSUREE
CDI-85-076-811-1001;3;;;3;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-02;3;CDI-85-076-811-1009;3;;;3;;;;EPISSUREE
CDI-85-076-811-1001;3;;;4;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-02;4;CDI-85-076-811-1009;3;;;4;;;;EPISSUREE
CDI-85-076-811-1001;3;;;5;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-02;5;CDI-85-076-811-1009;3;;;5;;;;EPISSUREE
CDI-85-076-811-1001;3;;;6;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-02;6;CDI-85-076-811-1009;3;;;6;;;;EPISSUREE
CDI-85-076-811-1001;3;;;7;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-02;7;CDI-85-076-811-1009;3;;;7;;;;EPISSUREE
CDI-85-076-811-1001;3;;;8;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-02;8;CDI-85-076-811-1009;3;;;8;;;;EPISSUREE
CDI-85-076-811-1001;3;;;9;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-02;9;CDI-85-076-811-1009;3;;;9;;;;EPISSUREE
CDI-85-076-811-1001;3;;;10;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-02;10;CDI-85-076-811-1009;3;;;10;;;;EPISSUREE
CDI-85-076-811-1001;3;;;11;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-02;11;CDI-85-076-811-1009;3;;;11;;;;EPISSUREE
CDI-85-076-811-1001;3;;;12;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-02;12;CDI-85-076-811-1009;3;;;12;;;;EPISSUREE
CDI-85-076-811-1001;4;;;1;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-02;13;CDI-85-076-811-1009;4;;;1;;;;EPISSUREE
CDI-85-076-811-1001;4;;;2;;;;;;CHA-85090-7C01;PEC-85-076-811-1001;CSE-02;14;CDI-85-076-811-1009;4;;;2;;;;EPISSUREE
