CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-85-076-815-1005;1;1;;1;;;;;;POT-85090-7007;PBO-85-076-815-1005;CSE-04;1;;;;;;;;;STOCKEE
CDI-85-076-815-1005;1;1;;2;;;;;;POT-85090-7007;PBO-85-076-815-1005;CSE-04;2;;;;;;;;;STOCKEE
CDI-85-076-815-1005;1;1;;3;;;;;;POT-85090-7007;PBO-85-076-815-1005;CSE-04;3;;;;;;;;;STOCKEE
CDI-85-076-815-1005;1;1;;4;;;;;;POT-85090-7007;PBO-85-076-815-1005;CSE-04;4;;;;;;;;;STOCKEE
CDI-85-076-815-1005;1;1;;5;;;;;;POT-85090-7007;PBO-85-076-815-1005;CSE-04;5;;;;;;;;;STOCKEE
CDI-85-076-815-1005;1;1;;6;;;;;;POT-85090-7007;PBO-85-076-815-1005;CSE-04;6;;;;;;;;;STOCKEE
CDI-85-076-815-1005;1;1;;7;;;;;;POT-85090-7007;PBO-85-076-815-1005;CSE-03;7;CDI-85-076-815-1017;1;1;;7;;;;EN PASSAGE
CDI-85-076-815-1005;1;1;;8;;;;;;POT-85090-7007;PBO-85-076-815-1005;CSE-03;8;CDI-85-076-815-1017;1;1;;8;;;;EN PASSAGE
CDI-85-076-815-1005;1;1;;9;;;;;;POT-85090-7007;PBO-85-076-815-1005;CSE-03;9;CDI-85-076-815-1017;1;1;;9;;;;EN PASSAGE
CDI-85-076-815-1005;1;1;;10;;;;;;POT-85090-7007;PBO-85-076-815-1005;CSE-03;10;CDI-85-076-815-1017;1;1;;10;;;;EN PASSAGE
CDI-85-076-815-1005;1;1;;11;;;;;;POT-85090-7007;PBO-85-076-815-1005;CSE-03;11;CDI-85-076-815-1017;1;1;;11;;;;EN PASSAGE
CDI-85-076-815-1005;1;1;;12;;;;;;POT-85090-7007;PBO-85-076-815-1005;CSE-03;12;CDI-85-076-815-1017;1;1;;12;;;;EN PASSAGE
CDI-85-076-815-1005;2;1;;1;;;;;;POT-85090-7007;PBO-85-076-815-1005;FOND DE BOITE;1;CDI-85-076-815-1017;2;1;;1;;;;EN PASSAGE
CDI-85-076-815-1005;2;1;;2;;;;;;POT-85090-7007;PBO-85-076-815-1005;FOND DE BOITE;2;CDI-85-076-815-1017;2;1;;2;;;;EN PASSAGE
CDI-85-076-815-1005;2;1;;3;;;;;;POT-85090-7007;PBO-85-076-815-1005;FOND DE BOITE;3;CDI-85-076-815-1017;2;1;;3;;;;EN PASSAGE
