CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-21-011-071-1001;1;1;;1;;;;;;21297/75;PBO-21-011-071-1001;CSE-02;1;;;;;;;;;STOCKEE
CDI-21-011-071-1001;1;1;;2;;;;;;21297/75;PBO-21-011-071-1001;CSE-02;2;;;;;;;;;STOCKEE
CDI-21-011-071-1001;1;1;;3;;;;;;21297/75;PBO-21-011-071-1001;CSE-02;3;;;;;;;;;STOCKEE
CDI-21-011-071-1001;1;1;;4;;;;;;21297/75;PBO-21-011-071-1001;CSE-01;1;CDI-21-011-071-1018;1;1;;1;;;;EPISSUREE
CDI-21-011-071-1001;1;1;;5;;;;;;21297/75;PBO-21-011-071-1001;CSE-01;2;CDI-21-011-071-1018;1;1;;2;;;;EPISSUREE
CDI-21-011-071-1001;1;1;;6;;;;;;21297/75;PBO-21-011-071-1001;CSE-01;3;CDI-21-011-071-1018;1;1;;3;;;;EPISSUREE
CDI-21-011-071-1001;1;1;;7;;;;;;21297/75;PBO-21-011-071-1001;CSE-01;4;CDI-21-011-071-1018;1;1;;4;;;;EPISSUREE
CDI-21-011-071-1001;1;1;;8;;;;;;21297/75;PBO-21-011-071-1001;CSE-01;5;CDI-21-011-071-1018;1;1;;5;;;;EPISSUREE
CDI-21-011-071-1001;1;1;;9;;;;;;21297/75;PBO-21-011-071-1001;CSE-01;6;CDI-21-011-071-1018;1;1;;6;;;;EPISSUREE
CDI-21-011-071-1001;1;1;;10;;;;;;21297/75;PBO-21-011-071-1001;CSE-01;7;CDI-21-011-071-1018;1;1;;7;;;;EPISSUREE
CDI-21-011-071-1001;1;1;;11;;;;;;21297/75;PBO-21-011-071-1001;CSE-01;8;CDI-21-011-071-1018;1;1;;8;;;;EPISSUREE
CDI-21-011-071-1001;1;1;;12;;;;;;21297/75;PBO-21-011-071-1001;CSE-01;9;CDI-21-011-071-1018;1;1;;9;;;;EPISSUREE
CDI-21-011-071-1001;2;1;;1;;;;;;21297/75;PBO-21-011-071-1001;CSE-01;10;CDI-21-011-071-1030;1;1;;1;;;;EPISSUREE
CDI-21-011-071-1001;2;1;;2;;;;;;21297/75;PBO-21-011-071-1001;CSE-01;11;CDI-21-011-071-1030;1;1;;2;;;;EPISSUREE
CDI-21-011-071-1001;2;1;;3;;;;;;21297/75;PBO-21-011-071-1001;CSE-01;12;CDI-21-011-071-1030;1;1;;3;;;;EPISSUREE
CDI-21-011-071-1001;2;1;;4;;;;;;21297/75;PBO-21-011-071-1001;CSE-01;13;CDI-21-011-071-1030;1;1;;4;;;;EPISSUREE
CDI-21-011-071-1001;2;1;;5;;;;;;21297/75;PBO-21-011-071-1001;CSE-01;14;CDI-21-011-071-1030;1;1;;5;;;;EPISSUREE
CDI-21-011-071-1001;2;1;;6;;;;;;21297/75;PBO-21-011-071-1001;CSE-01;15;CDI-21-011-071-1030;1;1;;6;;;;EPISSUREE
CDI-21-011-071-1001;2;1;;7;;;;;;21297/75;PBO-21-011-071-1001;FOND DE BOITE;1;;;;;;;;;STOCKEE
CDI-21-011-071-1001;2;1;;8;;;;;;21297/75;PBO-21-011-071-1001;FOND DE BOITE;2;;;;;;;;;STOCKEE
CDI-21-011-071-1001;2;1;;9;;;;;;21297/75;PBO-21-011-071-1001;FOND DE BOITE;3;;;;;;;;;STOCKEE
CDI-21-011-071-1001;2;1;;10;;;;;;21297/75;PBO-21-011-071-1001;FOND DE BOITE;4;;;;;;;;;STOCKEE
CDI-21-011-071-1001;2;1;;11;;;;;;21297/75;PBO-21-011-071-1001;FOND DE BOITE;5;;;;;;;;;STOCKEE
CDI-21-011-071-1001;2;1;;12;;;;;;21297/75;PBO-21-011-071-1001;FOND DE BOITE;6;;;;;;;;;STOCKEE
;;;;;;;;;;21297/75;PBO-21-011-071-1001;FOND DE BOITE;7;CDI-21-011-071-1018;1;1;;10;;;;STOCKEE
;;;;;;;;;;21297/75;PBO-21-011-071-1001;FOND DE BOITE;8;CDI-21-011-071-1018;1;1;;11;;;;STOCKEE
;;;;;;;;;;21297/75;PBO-21-011-071-1001;FOND DE BOITE;9;CDI-21-011-071-1018;1;1;;12;;;;STOCKEE
;;;;;;;;;;21297/75;PBO-21-011-071-1001;FOND DE BOITE;10;CDI-21-011-071-1030;1;1;;7;;;;STOCKEE
;;;;;;;;;;21297/75;PBO-21-011-071-1001;FOND DE BOITE;11;CDI-21-011-071-1030;1;1;;8;;;;STOCKEE
;;;;;;;;;;21297/75;PBO-21-011-071-1001;FOND DE BOITE;12;CDI-21-011-071-1030;1;1;;9;;;;STOCKEE
;;;;;;;;;;21297/75;PBO-21-011-071-1001;FOND DE BOITE;13;CDI-21-011-071-1030;1;1;;10;;;;STOCKEE
;;;;;;;;;;21297/75;PBO-21-011-071-1001;FOND DE BOITE;14;CDI-21-011-071-1030;1;1;;11;;;;STOCKEE
;;;;;;;;;;21297/75;PBO-21-011-071-1001;FOND DE BOITE;15;CDI-21-011-071-1030;1;1;;12;;;;STOCKEE
CDI-21-011-071-1002;1;1;;1;;;;;;21297/BT36;PBO-21-011-071-1002;CSE-12;7;CDI-21-011-071-1003;1;1;;1;;;;EN PASSAGE
CDI-21-011-071-1002;1;1;;2;;;;;;21297/BT36;PBO-21-011-071-1002;CSE-12;8;CDI-21-011-071-1003;1;1;;2;;;;EN PASSAGE
CDI-21-011-071-1002;1;1;;3;;;;;;21297/BT36;PBO-21-011-071-1002;CSE-12;9;CDI-21-011-071-1003;1;1;;3;;;;EN PASSAGE
CDI-21-011-071-1002;1;1;;4;;;;;;21297/BT36;PBO-21-011-071-1002;CSE-12;10;CDI-21-011-071-1003;1;1;;4;;;;EN PASSAGE
CDI-21-011-071-1002;1;1;;5;;;;;;21297/BT36;PBO-21-011-071-1002;CSE-12;11;CDI-21-011-071-1003;1;1;;5;;;;EN PASSAGE
CDI-21-011-071-1002;1;1;;6;;;;;;21297/BT36;PBO-21-011-071-1002;CSE-12;12;CDI-21-011-071-1003;1;1;;6;;;;EN PASSAGE
CDI-21-011-071-1002;1;1;;7;;;;;;21297/BT36;PBO-21-011-071-1002;CSE-12;1;;;;;;;;;STOCKEE
CDI-21-011-071-1002;1;1;;8;;;;;;21297/BT36;PBO-21-011-071-1002;CSE-12;2;;;;;;;;;STOCKEE
CDI-21-011-071-1002;1;1;;9;;;;;;21297/BT36;PBO-21-011-071-1002;CSE-12;3;;;;;;;;;STOCKEE
CDI-21-011-071-1002;1;1;;10;;;;;;21297/BT36;PBO-21-011-071-1002;CSE-12;4;;;;;;;;;STOCKEE
CDI-21-011-071-1002;1;1;;11;;;;;;21297/BT36;PBO-21-011-071-1002;CSE-12;5;;;;;;;;;STOCKEE
CDI-21-011-071-1002;1;1;;12;;;;;;21297/BT36;PBO-21-011-071-1002;CSE-12;6;;;;;;;;;STOCKEE
CDI-21-011-071-1002;2;1;;1;;;;;;21297/BT36;PBO-21-011-071-1002;FOND DE BOITE;1;CDI-21-011-071-1003;2;1;;1;;;;EN PASSAGE
CDI-21-011-071-1002;2;1;;2;;;;;;21297/BT36;PBO-21-011-071-1002;FOND DE BOITE;2;CDI-21-011-071-1003;2;1;;2;;;;EN PASSAGE
