CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-21-011-072-1000;1;1;;1;;;;;;21714/92;PBO-21-011-072-1000;FOND DE BOITE;1;;;;;;;;;STOCKEE
CDI-21-011-072-1000;1;1;;2;;;;;;21714/92;PBO-21-011-072-1000;FOND DE BOITE;2;;;;;;;;;STOCKEE
CDI-21-011-072-1000;1;1;;3;;;;;;21714/92;PBO-21-011-072-1000;FOND DE BOITE;3;;;;;;;;;STOCKEE
CDI-21-011-072-1000;1;1;;4;;;;;;21714/92;PBO-21-011-072-1000;FOND DE BOITE;4;;;;;;;;;STOCKEE
CDI-21-011-072-1000;1;1;;5;;;;;;21714/92;PBO-21-011-072-1000;FOND DE BOITE;5;;;;;;;;;STOCKEE
CDI-21-011-072-1000;1;1;;6;;;;;;21714/92;PBO-21-011-072-1000;FOND DE BOITE;6;;;;;;;;;STOCKEE
CDI-21-011-072-1000;1;1;;7;;;;;;21714/92;PBO-21-011-072-1000;CSE-12;1;;;;;;;;;STOCKEE
CDI-21-011-072-1000;1;1;;8;;;;;;21714/92;PBO-21-011-072-1000;CSE-12;2;;;;;;;;;STOCKEE
CDI-21-011-072-1000;1;1;;9;;;;;;21714/92;PBO-21-011-072-1000;CSE-12;3;;;;;;;;;STOCKEE
CDI-21-011-072-1000;1;1;;10;;;;;;21714/92;PBO-21-011-072-1000;CSE-12;4;;;;;;;;;STOCKEE
CDI-21-011-072-1000;1;1;;11;;;;;;21714/92;PBO-21-011-072-1000;CSE-12;5;;;;;;;;;STOCKEE
CDI-21-011-072-1000;1;1;;12;;;;;;21714/92;PBO-21-011-072-1000;CSE-12;6;;;;;;;;;STOCKEE
CDI-21-011-072-1000;2;1;;1;;;;;;21714/92;PBO-21-011-072-1000;CSE-12;7;;;;;;;;;STOCKEE
CDI-21-011-072-1000;2;1;;2;;;;;;21714/92;PBO-21-011-072-1000;CSE-12;8;;;;;;;;;STOCKEE
CDI-21-011-072-1000;2;1;;3;;;;;;21714/92;PBO-21-011-072-1000;CSE-12;9;;;;;;;;;STOCKEE
CDI-21-011-072-1000;2;1;;4;;;;;;21714/92;PBO-21-011-072-1000;CSE-02;1;CDI-21-011-072-1017;1;1;;1;;;;EPISSUREE
CDI-21-011-072-1000;2;1;;5;;;;;;21714/92;PBO-21-011-072-1000;CSE-02;2;CDI-21-011-072-1017;1;1;;2;;;;EPISSUREE
CDI-21-011-072-1000;2;1;;6;;;;;;21714/92;PBO-21-011-072-1000;CSE-02;3;CDI-21-011-072-1017;1;1;;3;;;;EPISSUREE
CDI-21-011-072-1000;2;1;;7;;;;;;21714/92;PBO-21-011-072-1000;CSE-02;4;CDI-21-011-072-1017;1;1;;4;;;;EPISSUREE
CDI-21-011-072-1000;2;1;;8;;;;;;21714/92;PBO-21-011-072-1000;CSE-02;5;CDI-21-011-072-1017;1;1;;5;;;;EPISSUREE
CDI-21-011-072-1000;2;1;;9;;;;;;21714/92;PBO-21-011-072-1000;CSE-02;6;CDI-21-011-072-1017;1;1;;6;;;;EPISSUREE
CDI-21-011-072-1000;2;1;;10;;;;;;21714/92;PBO-21-011-072-1000;CSE-02;7;CDI-21-011-072-1017;1;1;;7;;;;EPISSUREE
CDI-21-011-072-1000;2;1;;11;;;;;;21714/92;PBO-21-011-072-1000;CSE-02;8;CDI-21-011-072-1017;1;1;;8;;;;EPISSUREE
CDI-21-011-072-1000;2;1;;12;;;;;;21714/92;PBO-21-011-072-1000;CSE-02;9;CDI-21-011-072-1017;1;1;;9;;;;EPISSUREE
CDI-21-011-072-1000;3;1;;1;;;;;;21714/92;PBO-21-011-072-1000;CSE-02;10;CDI-21-011-072-1017;1;1;;10;;;;EPISSUREE
CDI-21-011-072-1000;3;1;;2;;;;;;21714/92;PBO-21-011-072-1000;CSE-02;11;CDI-21-011-072-1017;1;1;;11;;;;EPISSUREE
CDI-21-011-072-1000;3;1;;3;;;;;;21714/92;PBO-21-011-072-1000;CSE-02;12;CDI-21-011-072-1017;1;1;;12;;;;EPISSUREE
CDI-21-011-072-1000;3;1;;4;;;;;;21714/92;PBO-21-011-072-1000;CSE-03;1;CDI-21-011-072-1017;2;1;;1;;;;EPISSUREE
CDI-21-011-072-1000;3;1;;5;;;;;;21714/92;PBO-21-011-072-1000;CSE-03;2;CDI-21-011-072-1017;2;1;;2;;;;EPISSUREE
CDI-21-011-072-1000;3;1;;6;;;;;;21714/92;PBO-21-011-072-1000;CSE-03;3;CDI-21-011-072-1017;2;1;;3;;;;EPISSUREE
CDI-21-011-072-1000;3;1;;7;;;;;;21714/92;PBO-21-011-072-1000;CSE-03;4;CDI-21-011-072-1017;2;1;;4;;;;EPISSUREE
CDI-21-011-072-1000;3;1;;8;;;;;;21714/92;PBO-21-011-072-1000;CSE-03;5;CDI-21-011-072-1017;2;1;;5;;;;EPISSUREE
CDI-21-011-072-1000;3;1;;9;;;;;;21714/92;PBO-21-011-072-1000;CSE-03;6;CDI-21-011-072-1017;2;1;;6;;;;EPISSUREE
CDI-21-011-072-1000;3;1;;10;;;;;;21714/92;PBO-21-011-072-1000;CSE-03;7;CDI-21-011-072-1017;2;1;;7;;;;EPISSUREE
