CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-21-011-079-5017;1;1;;1;;;;;;FAC-21464-4025;BTI-21-011-079-5017;CSE-01;1;;;;;;;;;STOCKEE
CDI-21-011-079-5017;1;1;;2;;;;;;FAC-21464-4025;BTI-21-011-079-5017;CSE-01;2;;;;;;;;;STOCKEE
CDI-21-011-079-5017;1;1;;3;;;;;;FAC-21464-4025;BTI-21-011-079-5017;CSE-01;3;;;;;;;;;STOCKEE
CDI-21-011-079-5017;1;1;;4;;;;;;FAC-21464-4025;BTI-21-011-079-5017;CSE-01;4;;;;;;;;;STOCKEE
CDI-21-011-079-5017;1;1;;5;;;;;;FAC-21464-4025;BTI-21-011-079-5017;CSE-01;5;;;;;;;;;STOCKEE
CDI-21-011-079-5017;1;1;;6;;;;;;FAC-21464-4025;BTI-21-011-079-5017;CSE-01;6;;;;;;;;;STOCKEE
CDI-21-011-079-5017;1;1;;7;;;;;;FAC-21464-4025;BTI-21-011-079-5017;CSE-01;7;;;;;;;;;STOCKEE
CDI-21-011-079-5017;1;1;;8;;;;;;FAC-21464-4025;BTI-21-011-079-5017;CSE-01;8;;;;;;;;;STOCKEE
CDI-21-011-079-5017;1;1;;9;;;;;;FAC-21464-4025;BTI-21-011-079-5017;CSE-01;9;;;;;;;;;STOCKEE
CDI-21-011-079-5017;1;1;;10;;;;;;FAC-21464-4025;BTI-21-011-079-5017;CSE-01;13;;;;;;;;;STOCKEE
CDI-21-011-079-5017;1;1;;11;;;;;;FAC-21464-4025;BTI-21-011-079-5017;CSE-01;14;;;;;;;;;STOCKEE
CDI-21-011-079-5017;1;1;;12;;;;;;FAC-21464-4025;BTI-21-011-079-5017;CSE-01;15;;;;;;;;;STOCKEE
CDI-21-011-079-5001;1;1;;1;;;;;;21464/859;PBO-21-011-079-5001;CSE-12;1;;;;;;;;;STOCKEE
CDI-21-011-079-5001;1;1;;2;;;;;;21464/859;PBO-21-011-079-5001;CSE-12;2;;;;;;;;;STOCKEE
CDI-21-011-079-5001;1;1;;3;;;;;;21464/859;PBO-21-011-079-5001;CSE-12;3;;;;;;;;;STOCKEE
CDI-21-011-079-5001;1;1;;4;;;;;;21464/859;PBO-21-011-079-5001;CSE-12;4;;;;;;;;;STOCKEE
CDI-21-011-079-5001;1;1;;5;;;;;;21464/859;PBO-21-011-079-5001;CSE-12;5;;;;;;;;;STOCKEE
CDI-21-011-079-5001;1;1;;6;;;;;;21464/859;PBO-21-011-079-5001;CSE-12;6;;;;;;;;;STOCKEE
CDI-21-011-079-5001;1;1;;7;;;;;;21464/859;PBO-21-011-079-5001;CSE-02;12;CDI-21-011-079-5002;1;1;;1;;;;EPISSUREE
CDI-21-011-079-5001;1;1;;8;;;;;;21464/859;PBO-21-011-079-5001;CSE-02;11;CDI-21-011-079-5002;1;1;;2;;;;EPISSUREE
CDI-21-011-079-5001;1;1;;9;;;;;;21464/859;PBO-21-011-079-5001;CSE-02;10;CDI-21-011-079-5002;1;1;;3;;;;EPISSUREE
CDI-21-011-079-5001;1;1;;10;;;;;;21464/859;PBO-21-011-079-5001;CSE-02;9;CDI-21-011-079-5002;1;1;;4;;;;EPISSUREE
CDI-21-011-079-5001;1;1;;11;;;;;;21464/859;PBO-21-011-079-5001;CSE-02;8;CDI-21-011-079-5002;1;1;;5;;;;EPISSUREE
CDI-21-011-079-5001;1;1;;12;;;;;;21464/859;PBO-21-011-079-5001;CSE-02;7;CDI-21-011-079-5002;1;1;;6;;;;EPISSUREE
CDI-21-011-079-5001;2;1;;1;;;;;;21464/859;PBO-21-011-079-5001;CSE-03;1;CDI-21-011-079-5002;1;1;;7;;;;EPISSUREE
CDI-21-011-079-5001;2;1;;2;;;;;;21464/859;PBO-21-011-079-5001;CSE-03;2;CDI-21-011-079-5002;1;1;;8;;;;EPISSUREE
CDI-21-011-079-5001;2;1;;3;;;;;;21464/859;PBO-21-011-079-5001;CSE-03;3;CDI-21-011-079-5002;1;1;;9;;;;EPISSUREE
CDI-21-011-079-5001;2;1;;4;;;;;;21464/859;PBO-21-011-079-5001;CSE-03;4;CDI-21-011-079-5004;1;1;;1;;;;EPISSUREE
CDI-21-011-079-5001;2;1;;5;;;;;;21464/859;PBO-21-011-079-5001;CSE-03;5;CDI-21-011-079-5004;1;1;;2;;;;EPISSUREE
CDI-21-011-079-5001;2;1;;6;;;;;;21464/859;PBO-21-011-079-5001;CSE-03;6;CDI-21-011-079-5004;1;1;;3;;;;EPISSUREE
