CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-31-206-295-2070;1;1;;1;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;CSE-04;1;;;;;;;;;STOCKEE
CDI-31-206-295-2070;1;1;;2;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;CSE-04;2;;;;;;;;;STOCKEE
CDI-31-206-295-2070;1;1;;3;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;CSE-04;3;;;;;;;;;STOCKEE
CDI-31-206-295-2070;1;1;;4;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;CSE-04;4;;;;;;;;;STOCKEE
CDI-31-206-295-2070;1;1;;5;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;CSE-04;5;;;;;;;;;STOCKEE
CDI-31-206-295-2070;1;1;;6;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;CSE-04;6;;;;;;;;;STOCKEE
CDI-31-206-295-2070;1;1;;7;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;CSE-04;7;;;;;;;;;STOCKEE
CDI-31-206-295-2070;1;1;;8;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;CSE-04;8;;;;;;;;;STOCKEE
CDI-31-206-295-2070;1;1;;9;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;CSE-04;9;;;;;;;;;STOCKEE
CDI-31-206-295-2070;1;1;;10;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;CSE-04;10;;;;;;;;;STOCKEE
CDI-31-206-295-2070;1;1;;11;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;CSE-04;11;;;;;;;;;STOCKEE
CDI-31-206-295-2070;1;1;;12;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;CSE-04;12;;;;;;;;;STOCKEE
CDI-31-206-295-2070;2;1;;1;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;FOND DE BOITE;1;CDI-31-206-295-2075;2;1;;1;;;;EN PASSAGE
CDI-31-206-295-2070;2;1;;2;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;FOND DE BOITE;2;CDI-31-206-295-2075;2;1;;2;;;;EN PASSAGE
CDI-31-206-295-2070;2;1;;3;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;FOND DE BOITE;3;CDI-31-206-295-2075;2;1;;3;;;;EN PASSAGE
CDI-31-206-295-2070;2;1;;4;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;FOND DE BOITE;4;CDI-31-206-295-2075;2;1;;4;;;;EN PASSAGE
CDI-31-206-295-2070;2;1;;5;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;FOND DE BOITE;5;CDI-31-206-295-2075;2;1;;5;;;;EN PASSAGE
CDI-31-206-295-2070;2;1;;6;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;FOND DE BOITE;6;CDI-31-206-295-2075;2;1;;6;;;;EN PASSAGE
CDI-31-206-295-2070;2;1;;7;;;;IMB-31584-AABQD;;CMO-31584-6812;BET-31-206-295-2070;FOND DE BOITE;7;CDI-31-206-295-2075;2;1;;7;;;;EN PASSAGE
