CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-31-206-326-2021;1;1;;1;;;;IMB-31584-AABKU;;CMO-31584-6123;BTI-31-206-326-2021;CSE-02;1;;;;;;;;;STOCKEE
CDI-31-206-326-2021;1;1;;2;;;;IMB-31584-AABKU;;CMO-31584-6123;BTI-31-206-326-2021;CSE-02;2;;;;;;;;;STOCKEE
CDI-31-206-326-2021;1;1;;3;;;;IMB-31584-AABKU;;CMO-31584-6123;BTI-31-206-326-2021;CSE-02;3;;;;;;;;;STOCKEE
CDI-31-206-326-2021;1;1;;4;;;;IMB-31584-AABKU;;CMO-31584-6123;BTI-31-206-326-2021;CSE-02;4;;;;;;;;;STOCKEE
CDI-31-206-326-2021;1;1;;5;;;;IMB-31584-AABKU;;CMO-31584-6123;BTI-31-206-326-2021;CSE-02;5;;;;;;;;;STOCKEE
CDI-31-206-326-2021;1;1;;6;;;;IMB-31584-AABKU;;CMO-31584-6123;BTI-31-206-326-2021;CSE-02;6;;;;;;;;;STOCKEE
CDI-31-206-326-2021;1;1;;7;;;;IMB-31584-AABKU;;CMO-31584-6123;BTI-31-206-326-2021;CSE-02;7;;;;;;;;;STOCKEE
CDI-31-206-326-2021;1;1;;8;;;;IMB-31584-AABKU;;CMO-31584-6123;BTI-31-206-326-2021;CSE-02;8;;;;;;;;;STOCKEE
CDI-31-206-326-2021;1;1;;9;;;;IMB-31584-AABKU;;CMO-31584-6123;BTI-31-206-326-2021;CSE-02;9;;;;;;;;;STOCKEE
CDI-31-206-326-2021;1;1;;10;;;;IMB-31584-AABKU;;CMO-31584-6123;BTI-31-206-326-2021;CSE-02;10;;;;;;;;;STOCKEE
CDI-31-206-326-2021;1;1;;11;;;;IMB-31584-AABKU;;CMO-31584-6123;BTI-31-206-326-2021;CSE-02;11;;;;;;;;;STOCKEE
CDI-31-206-326-2021;1;1;;12;;;;IMB-31584-AABKU;;CMO-31584-6123;BTI-31-206-326-2021;CSE-02;12;;;;;;;;;STOCKEE
CDI-31-206-326-3003;1;1;;1;;;;IMB-31584-AABAM;;CMO-31584-6127;BTI-31-206-326-3003;CSE-02;1;;;;;;;;;STOCKEE
CDI-31-206-326-3003;1;1;;2;;;;IMB-31584-AABAM;;CMO-31584-6127;BTI-31-206-326-3003;CSE-02;2;;;;;;;;;STOCKEE
CDI-31-206-326-3003;1;1;;3;;;;IMB-31584-AABAM;;CMO-31584-6127;BTI-31-206-326-3003;CSE-02;3;;;;;;;;;STOCKEE
CDI-31-206-326-3003;1;1;;4;;;;IMB-31584-AABAM;;CMO-31584-6127;BTI-31-206-326-3003;CSE-02;4;;;;;;;;;STOCKEE
CDI-31-206-326-3003;1;1;;5;;;;IMB-31584-AABAM;;CMO-31584-6127;BTI-31-206-326-3003;CSE-02;5;;;;;;;;;STOCKEE
CDI-31-206-326-3003;1;1;;6;;;;IMB-31584-AABAM;;CMO-31584-6127;BTI-31-206-326-3003;CSE-02;6;;;;;;;;;STOCKEE
