CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-31-206-328-1002;1;1;;1;;;;;;POT-31584-19G8;PBO-31-206-328-1002;CSE-01;1;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;2;;;;;;POT-31584-19G8;PBO-31-206-328-1002;CSE-01;2;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;3;;;;;;POT-31584-19G8;PBO-31-206-328-1002;CSE-01;3;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;4;;;;;;POT-31584-19G8;PBO-31-206-328-1002;CSE-01;4;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;5;;;;;;POT-31584-19G8;PBO-31-206-328-1002;CSE-01;5;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;6;;;;;;POT-31584-19G8;PBO-31-206-328-1002;CSE-01;6;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;7;;;;;;POT-31584-19G8;PBO-31-206-328-1002;FOND DE BOITE;1;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;8;;;;;;POT-31584-19G8;PBO-31-206-328-1002;FOND DE BOITE;2;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;9;;;;;;POT-31584-19G8;PBO-31-206-328-1002;FOND DE BOITE;3;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;10;;;;;;POT-31584-19G8;PBO-31-206-328-1002;FOND DE BOITE;4;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;11;;;;;;POT-31584-19G8;PBO-31-206-328-1002;FOND DE BOITE;5;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;12;;;;;;POT-31584-19G8;PBO-31-206-328-1002;FOND DE BOITE;6;;;;;;;;;STOCKEE
CDI-31-206-328-1004;1;1;;1;;;;;;POT-31584-19G0;PBO-31-206-328-1004;CSE-02;1;;;;;;;;;STOCKEE
CDI-31-206-328-1004;1;1;;2;;;;;;POT-31584-19G0;PBO-31-206-328-1004;CSE-02;2;;;;;;;;;STOCKEE
CDI-31-206-328-1004;1;1;;3;;;;;;POT-31584-19G0;PBO-31-206-328-1004;CSE-02;3;;;;;;;;;STOCKEE
CDI-31-206-328-1004;1;1;;4;;;;;;POT-31584-19G0;PBO-31-206-328-1004;CSE-02;4;;;;;;;;;STOCKEE
CDI-31-206-328-1004;1;1;;5;;;;;;POT-31584-19G0;PBO-31-206-328-1004;CSE-02;5;;;;;;;;;STOCKEE
CDI-31-206-328-1004;1;1;;6;;;;;;POT-31584-19G0;PBO-31-206-328-1004;CSE-02;6;;;;;;;;;STOCKEE
CDI-31-206-328-1004;1;1;;7;;;;;;POT-31584-19G0;PBO-31-206-328-1004;CSE-01;1;CDI-31-206-328-1005;1;1;;7;;;;EN PASSAGE
CDI-31-206-328-1004;1;1;;8;;;;;;POT-31584-19G0;PBO-31-206-328-1004;CSE-01;2;CDI-31-206-328-1005;1;1;;8;;;;EN PASSAGE
CDI-31-206-328-1004;1;1;;9;;;;;;POT-31584-19G0;PBO-31-206-328-1004;CSE-01;3;CDI-31-206-328-1005;1;1;;9;;;;EN PASSAGE
