CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-85-076-816-1001;1;1;;1;;;;;;CHA-85090-7069;PEC-85-076-816-1001;CSE-01;1;CDI-85-076-816-1038;1;1;;1;;;;EPISSUREE
CDI-85-076-816-1001;1;1;;2;;;;;;CHA-85090-7069;PEC-85-076-816-1001;CSE-01;2;CDI-85-076-816-1038;1;1;;2;;;;EPISSUREE
CDI-85-076-816-1001;1;1;;3;;;;;;CHA-85090-7069;PEC-85-076-816-1001;CSE-01;3;CDI-85-076-816-1038;1;1;;3;;;;EPISSUREE
CDI-85-076-816-1001;1;1;;4;;;;;;CHA-85090-7069;PEC-85-076-816-1001;CSE-01;4;CDI-85-076-816-1038;1;1;;4;;;;EPISSUREE
CDI-85-076-816-1001;1;1;;5;;;;;;CHA-85090-7069;PEC-85-076-816-1001;CSE-01;5;CDI-85-076-816-1038;1;1;;5;;;;EPISSUREE
CDI-85-076-816-1001;1;1;;6;;;;;;CHA-85090-7069;PEC-85-076-816-1001;CSE-01;6;CDI-85-076-816-1038;1;1;;6;;;;EPISSUREE
CDI-85-076-816-1001;1;1;;7;;;;;;CHA-85090-7069;PEC-85-076-816-1001;CSE-01;7;CDI-85-076-816-1038;1;1;;7;;;;EPISSUREE
CDI-85-076-816-1001;1;1;;8;;;;;;CHA-85090-7069;PEC-85-076-816-1001;CSE-01;8;CDI-85-076-816-1038;1;1;;8;;;;EPISSUREE
CDI-85-076-816-1001;1;1;;9;;;;;;CHA-85090-7069;PEC-85-076-816-1001;CSE-01;9;CDI-85-076-816-1038;1;1;;9;;;;EPISSUREE
CDI-85-076-816-1001;1;1;;10;;;;;;CHA-85090-7069;PEC-85-076-816-1001;CSE-01;10;CDI-85-076-816-1038;1;1;;10;;;;EPISSUREE
CDI-85-076-816-1001;1;1;;11;;;;;;CHA-85090-7069;PEC-85-076-816-1001;CSE-01;11;CDI-85-076-816-1038;1;1;;11;;;;EPISSUREE
CDI-85-076-816-1001;1;1;;12;;;;;;CHA-85090-7069;PEC-85-076-816-1001;CSE-01;12;CDI-85-076-816-1038;1;1;;12;;;;EPISSUREE
CDI-85-076-816-1001;2;1;;1;;;;;;CHA-85090-7069;PEC-85-076-816-1001;CSE-01;13;CDI-85-076-816-1038;2;1;;1;;;;EPISSUREE
CDI-85-076-816-1001;2;1;;2;;;;;;CHA-85090-7069;PEC-85-076-816-1001;CSE-01;14;CDI-85-076-816-1038;2;1;;2;;;;EPISSUREE
CDI-85-076-816-1001;2;1;;3;;;;;;CHA-85090-7069;PEC-85-076-816-1001;CSE-01;15;CDI-85-076-816-1038;2;1;;3;;;;EPISSUREE
