CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-89-018-024-1059;1;1;;1;;;;;;89134/94691;PBO-89-018-024-1059;CSE-04;1;;;;;;;;;STOCKEE
CDI-89-018-024-1059;1;1;;2;;;;;;89134/94691;PBO-89-018-024-1059;CSE-04;2;;;;;;;;;STOCKEE
CDI-89-018-024-1059;1;1;;3;;;;;;89134/94691;PBO-89-018-024-1059;CSE-04;3;;;;;;;;;STOCKEE
CDI-89-018-024-1059;1;1;;4;;;;;;89134/94691;PBO-89-018-024-1059;CSE-04;4;CDI-89-018-024-1080;1;1;;4;;;;EN PASSAGE
CDI-89-018-024-1059;1;1;;5;;;;;;89134/94691;PBO-89-018-024-1059;CSE-04;5;CDI-89-018-024-1080;1;1;;5;;;;EN PASSAGE
CDI-89-018-024-1059;1;1;;6;;;;;;89134/94691;PBO-89-018-024-1059;CSE-04;6;CDI-89-018-024-1080;1;1;;6;;;;EN PASSAGE
CDI-89-018-024-1059;1;1;;7;;;;;;89134/94691;PBO-89-018-024-1059;CSE-04;7;CDI-89-018-024-1080;1;1;;7;;;;EN PASSAGE
CDI-89-018-024-1059;1;1;;8;;;;;;89134/94691;PBO-89-018-024-1059;CSE-04;8;CDI-89-018-024-1080;1;1;;8;;;;EN PASSAGE
CDI-89-018-024-1059;1;1;;9;;;;;;89134/94691;PBO-89-018-024-1059;CSE-04;9;CDI-89-018-024-1080;1;1;;9;;;;EN PASSAGE
CDI-89-018-024-1059;1;1;;10;;;;;;89134/94691;PBO-89-018-024-1059;CSE-04;10;CDI-89-018-024-1080;1;1;;10;;;;EN PASSAGE
CDI-89-018-024-1059;1;1;;11;;;;;;89134/94691;PBO-89-018-024-1059;CSE-04;11;CDI-89-018-024-1080;1;1;;11;;;;EN PASSAGE
CDI-89-018-024-1059;1;1;;12;;;;;;89134/94691;PBO-89-018-024-1059;CSE-04;12;CDI-89-018-024-1080;1;1;;12;;;;EN PASSAGE
;;;;;;;;;;89134/94691;PBO-89-018-024-1059;FOND DE BOITE;1;CDI-89-018-024-1080;1;1;;1;;;;STOCKEE
;;;;;;;;;;89134/94691;PBO-89-018-024-1059;FOND DE BOITE;2;CDI-89-018-024-1080;1;1;;2;;;;STOCKEE
;;;;;;;;;;89134/94691;PBO-89-018-024-1059;FOND DE BOITE;3;CDI-89-018-024-1080;1;1;;3;;;;STOCKEE
