CODE_CABLE_ORIGINE,NUMERO_TUBE_ORIGINE,BAGUE_TUBE_ORIGINE,COULEUR_TUBE_ORIGINE,NUMERO_FIBRE_ORIGINE,BAGUE_FIBRE_ORIGINE,COULEUR_FIBRE_ORIGINE,LOVAGE_FIBRE_ORIGINE,CODE_SITE,CODE_NIVEAU,CODE_LOCALTECHNIQUE,CODE_BOITE,CODE_CASSETTE,POSITION_CASSETTE,CODE_CABLE_DESTINATION,NUMERO_TUBE_DESTINATION,BAGUE_TUBE_DESTINATION,COULEUR_TUBE_DESTINATION,NUMERO_FIBRE_DESTINATION,BAGUE_FIBRE_DESTINATION,COULEUR_FIBRE_DESTINATION,LOVAGE_FIBRE_DESTINATION,ETAT
CDI-21-017-101-1000,1,1,,1,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-09,1,CDI-21-017-101-1003,1,1,,1,,,,EPISSUREE
CDI-21-017-101-1000,1,1,,2,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-09,2,CDI-21-017-101-1003,1,1,,2,,,,EPISSUREE
CDI-21-017-101-1000,1,1,,3,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-09,3,CDI-21-017-101-1003,1,1,,3,,,,EPISSUREE
CDI-21-017-101-1000,1,1,,4,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-09,4,CDI-21-017-101-1003,1,1,,4,,,,EPISSUREE
CDI-21-017-101-1000,1,1,,5,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-09,5,CDI-21-017-101-1003,1,1,,5,,,,EPISSUREE
CDI-21-017-101-1000,1,1,,6,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-09,6,CDI-21-017-101-1003,1,1,,6,,,,EPISSUREE
CDI-21-017-101-1000,1,1,,7,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-09,7,CDI-21-017-101-1003,1,1,,7,,,,EPISSUREE
CDI-21-017-101-1000,1,1,,8,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-09,8,CDI-21-017-101-1003,1,1,,8,,,,EPISSUREE
CDI-21-017-101-1000,1,1,,9,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-09,9,CDI-21-017-101-1003,1,1,,9,,,,EPISSUREE
CDI-21-017-101-1000,1,1,,10,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-09,10,CDI-21-017-101-1003,1,1,,10,,,,EPISSUREE
CDI-21-017-101-1000,1,1,,11,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-09,11,CDI-21-017-101-1003,1,1,,11,,,,EPISSUREE
CDI-21-017-101-1000,1,1,,12,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-09,12,CDI-21-017-101-1003,1,1,,12,,,,EPISSUREE
CDI-21-017-101-1000,2,1,,1,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-08,1,CDI-21-017-101-1003,2,1,,1,,,,EPISSUREE
CDI-21-017-101-1000,2,1,,2,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-08,2,CDI-21-017-101-1003,2,1,,2,,,,EPISSUREE
CDI-21-017-101-1000,2,1,,3,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-08,3,CDI-21-017-101-1003,2,1,,3,,,,EPISSUREE
CDI-21-017-101-1000,2,1,,4,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-08,4,CDI-21-017-101-1003,2,1,,4,,,,EPISSUREE
CDI-21-017-101-1000,2,1,,5,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-08,5,CDI-21-017-101-1003,2,1,,5,,,,EPISSUREE
CDI-21-017-101-1000,2,1,,6,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-08,6,CDI-21-017-101-1003,2,1,,6,,,,EPISSUREE
CDI-21-017-101-1000,2,1,,7,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-08,7,CDI-21-017-101-1003,2,1,,7,,,,EPISSUREE
CDI-21-017-101-1000,2,1,,8,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-08,8,CDI-21-017-101-1003,2,1,,8,,,,EPISSUREE
CDI-21-017-101-1000,2,1,,9,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-08,9,CDI-21-017-101-1003,2,1,,9,,,,EPISSUREE
CDI-21-017-101-1000,2,1,,10,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-08,10,CDI-21-017-101-1003,2,1,,10,,,,EPISSUREE
CDI-21-017-101-1000,2,1,,11,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-08,11,CDI-21-017-101-1003,2,1,,11,,,,EPISSUREE
CDI-21-017-101-1000,2,1,,12,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-08,12,CDI-21-017-101-1003,2,1,,12,,,,EPISSUREE
CDI-21-017-101-1000,3,1,,1,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-07,1,CDI-21-017-101-1003,3,1,,1,,,,EPISSUREE
CDI-21-017-101-1000,3,1,,2,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-07,2,CDI-21-017-101-1003,3,1,,2,,,,EPISSUREE
CDI-21-017-101-1000,3,1,,3,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-07,3,CDI-21-017-101-1003,3,1,,3,,,,EPISSUREE
CDI-21-017-101-1000,3,1,,4,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-07,4,CDI-21-017-101-1003,3,1,,4,,,,EPISSUREE
CDI-21-017-101-1000,3,1,,5,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-07,5,CDI-21-017-101-1003,3,1,,5,,,,EPISSUREE
CDI-21-017-101-1000,3,1,,6,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-07,6,CDI-21-017-101-1003,3,1,,6,,,,EPISSUREE
CDI-21-017-101-1000,3,1,,7,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-07,7,CDI-21-017-101-1003,3,1,,7,,,,EPISSUREE
CDI-21-017-101-1000,3,1,,8,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-07,8,CDI-21-017-101-1003,3,1,,8,,,,EPISSUREE
CDI-21-017-101-1000,3,1,,9,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-07,9,CDI-21-017-101-1003,3,1,,9,,,,EPISSUREE
CDI-21-017-101-1000,3,1,,10,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-07,10,CDI-21-017-101-1003,3,1,,10,,,,EPISSUREE
CDI-21-017-101-1000,3,1,,11,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-07,11,CDI-21-017-101-1003,3,1,,11,,,,EPISSUREE
CDI-21-017-101-1000,3,1,,12,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-07,12,CDI-21-017-101-1003,3,1,,12,,,,EPISSUREE
CDI-21-017-101-1000,4,1,,1,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-06,1,CDI-21-017-101-1003,4,1,,1,,,,EPISSUREE
CDI-21-017-101-1000,4,1,,2,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-06,2,CDI-21-017-101-1003,4,1,,2,,,,EPISSUREE
CDI-21-017-101-1000,4,1,,3,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-06,3,CDI-21-017-101-1003,4,1,,3,,,,EPISSUREE
CDI-21-017-101-1000,4,1,,4,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-06,4,CDI-21-017-101-1003,4,1,,4,,,,EPISSUREE
CDI-21-017-101-1000,4,1,,5,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-06,5,CDI-21-017-101-1003,4,1,,5,,,,EPISSUREE
CDI-21-017-101-1000,4,1,,6,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-06,6,CDI-21-017-101-1003,4,1,,6,,,,EPISSUREE
CDI-21-017-101-1000,4,1,,7,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-06,7,CDI-21-017-101-1003,4,1,,7,,,,EPISSUREE
CDI-21-017-101-1000,4,1,,8,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-06,8,CDI-21-017-101-1003,4,1,,8,,,,EPISSUREE
CDI-21-017-101-1000,4,1,,9,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-06,9,CDI-21-017-101-1003,4,1,,9,,,,EPISSUREE
CDI-21-017-101-1000,4,1,,10,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-06,10,CDI-21-017-101-1003,4,1,,10,,,,EPISSUREE
CDI-21-017-101-1000,4,1,,11,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-06,11,CDI-21-017-101-1003,4,1,,11,,,,EPISSUREE
CDI-21-017-101-1000,4,1,,12,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-06,12,CDI-21-017-101-1003,4,1,,12,,,,EPISSUREE
CDI-21-017-101-1000,5,1,,1,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-05,1,CDI-21-017-101-1003,5,1,,1,,,,EPISSUREE
CDI-21-017-101-1000,5,1,,2,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-05,2,CDI-21-017-101-1003,5,1,,2,,,,EPISSUREE
CDI-21-017-101-1000,5,1,,3,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-05,3,CDI-21-017-101-1003,5,1,,3,,,,EPISSUREE
CDI-21-017-101-1000,5,1,,4,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-05,4,CDI-21-017-101-1003,5,1,,4,,,,EPISSUREE
CDI-21-017-101-1000,5,1,,5,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-05,5,CDI-21-017-101-1003,5,1,,5,,,,EPISSUREE
CDI-21-017-101-1000,5,1,,6,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-05,6,CDI-21-017-101-1003,5,1,,6,,,,EPISSUREE
CDI-21-017-101-1000,5,1,,7,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-05,7,CDI-21-017-101-1003,5,1,,7,,,,EPISSUREE
CDI-21-017-101-1000,5,1,,8,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-05,8,CDI-21-017-101-1003,5,1,,8,,,,EPISSUREE
CDI-21-017-101-1000,5,1,,9,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-05,9,CDI-21-017-101-1003,5,1,,9,,,,EPISSUREE
CDI-21-017-101-1000,5,1,,10,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-05,10,CDI-21-017-101-1003,5,1,,10,,,,EPISSUREE
CDI-21-017-101-1000,5,1,,11,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-05,11,CDI-21-017-101-1003,5,1,,11,,,,EPISSUREE
CDI-21-017-101-1000,5,1,,12,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-05,12,CDI-21-017-101-1003,5,1,,12,,,,EPISSUREE
CDI-21-017-101-1000,6,1,,1,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-04,1,CDI-21-017-101-1003,6,1,,1,,,,EPISSUREE
CDI-21-017-101-1000,6,1,,2,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-04,2,CDI-21-017-101-1003,6,1,,2,,,,EPISSUREE
CDI-21-017-101-1000,6,1,,3,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-04,3,CDI-21-017-101-1003,6,1,,3,,,,EPISSUREE
CDI-21-017-101-1000,6,1,,4,,,,,,CHA-21087-4051,PEC-21-017-101-1000,CSE-04,4,CDI-21-017-101-1003,6,1,,4,,,,EPISSUREE
