CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CTR-89-018-024-0001;1;1;;1;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-01;1;CTR-89-018-024-024;1;1;;1;;;;STOCKEE
CTR-89-018-024-0001;1;1;;2;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-01;2;CTR-89-018-024-024;1;1;;2;;;;STOCKEE
CTR-89-018-024-0001;1;1;;3;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-01;3;CTR-89-018-024-024;1;1;;3;;;;STOCKEE
CTR-89-018-024-0001;1;1;;4;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-01;4;CTR-89-018-024-024;1;1;;4;;;;STOCKEE
CTR-89-018-024-0001;1;1;;5;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-01;5;CTR-89-018-024-024;1;1;;5;;;;STOCKEE
CTR-89-018-024-0001;1;1;;6;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-01;6;CTR-89-018-024-024;1;1;;6;;;;STOCKEE
CTR-89-018-024-0001;1;1;;7;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-01;7;CTR-89-018-024-024;1;1;;7;;;;STOCKEE
CTR-89-018-024-0001;1;1;;8;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-01;8;CTR-89-018-024-024;1;1;;8;;;;STOCKEE
CTR-89-018-024-0001;1;1;;9;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-01;9;CTR-89-018-024-024;1;1;;9;;;;STOCKEE
CTR-89-018-024-0001;1;1;;10;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-01;10;CTR-89-018-024-024;1;1;;10;;;;STOCKEE
CTR-89-018-024-0001;1;1;;11;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-01;11;CTR-89-018-024-024;1;1;;11;;;;STOCKEE
CTR-89-018-024-0001;1;1;;12;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-01;12;CTR-89-018-024-024;1;1;;12;;;;STOCKEE
CTR-89-018-024-0001;2;1;;1;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-02;1;CTR-89-018-024-024;2;1;;1;;;;STOCKEE
CTR-89-018-024-0001;2;1;;2;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-02;2;CTR-89-018-024-024;2;1;;2;;;;STOCKEE
CTR-89-018-024-0001;2;1;;3;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-02;3;CTR-89-018-024-024;2;1;;3;;;;STOCKEE
CTR-89-018-024-0001;2;1;;4;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-02;4;CTR-89-018-024-024;2;1;;4;;;;STOCKEE
CTR-89-018-024-0001;2;1;;5;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-02;5;CTR-89-018-024-024;2;1;;5;;;;STOCKEE
CTR-89-018-024-0001;2;1;;6;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-02;6;CTR-89-018-024-024;2;1;;6;;;;STOCKEE
CTR-89-018-024-0001;2;1;;7;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-02;7;CTR-89-018-024-024;2;1;;7;;;;STOCKEE
CTR-89-018-024-0001;2;1;;8;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-02;8;CTR-89-018-024-024;2;1;;8;;;;STOCKEE
CTR-89-018-024-0001;2;1;;9;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-02;9;CTR-89-018-024-024;2;1;;9;;;;STOCKEE
CTR-89-018-024-0001;2;1;;10;;;;;;CHA-89134-4760;BPE-89-018-024-0001;CSE-02;10;CTR-89-018-024-024;2;1;;10;;;;STOCKEE
