CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE ;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE ;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION ;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION ;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-21-011-070-3002;1;1;;1;;;;;;code;BTI-21-011-070-3002;CSE-01;1;;;;;;;;;STOCKEE
CDI-21-011-070-3002;1;1;;2;;;;;;code;BTI-21-011-070-3002;CSE-01;2;;;;;;;;;STOCKEE
CDI-21-011-070-3002;1;1;;3;;;;;;code;BTI-21-011-070-3002;CSE-01;3;;;;;;;;;STOCKEE
CDI-21-011-070-3002;1;1;;4;;;;;;code;BTI-21-011-070-3002;CSE-01;4;;;;;;;;;STOCKEE
CDI-21-011-070-3002;1;1;;5;;;;;;code;BTI-21-011-070-3002;CSE-01;5;;;;;;;;;STOCKEE
CDI-21-011-070-3002;1;1;;6;;;;;;code;BTI-21-011-070-3002;CSE-01;6;;;;;;;;;STOCKEE
CDI-21-011-070-3002;1;1;;7;;;;;;code;BTI-21-011-070-3002;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3002;1;1;;8;;;;;;code;BTI-21-011-070-3002;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3002;1;1;;9;;;;;;code;BTI-21-011-070-3002;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3002;1;1;;10;;;;;;code;BTI-21-011-070-3002;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3002;1;1;;11;;;;;;code;BTI-21-011-070-3002;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3002;1;1;;12;;;;;;code;BTI-21-011-070-3002;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;1;1;;1;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;1;1;;2;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;1;1;;3;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;1;1;;4;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;1;1;;5;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;1;1;;6;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;1;1;;7;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;1;1;;8;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;1;1;;9;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;1;1;;10;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;1;1;;11;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;1;1;;12;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;2;1;;1;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;2;1;;2;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;2;1;;3;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;2;1;;4;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;2;1;;5;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;2;1;;6;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;2;1;;7;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;2;1;;8;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;2;1;;9;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;2;1;;10;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;2;1;;11;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;2;1;;12;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;3;1;;1;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;3;1;;2;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;3;1;;3;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-21-011-070-3009;3;1;;4;;;;;;code;BTI-21-011-070-3009;FOND DE BOITE;;;;;;;;;;STOCKEE
