CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE ;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE ;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION ;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION ;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-31-206-328-1002;1;1;;1;;;;;;;PBO-31-206-328-1002;CSE-01;1;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;2;;;;;;;PBO-31-206-328-1002;CSE-01;2;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;3;;;;;;;PBO-31-206-328-1002;CSE-01;3;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;4;;;;;;;PBO-31-206-328-1002;CSE-01;4;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;5;;;;;;;PBO-31-206-328-1002;CSE-01;5;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;6;;;;;;;PBO-31-206-328-1002;CSE-01;6;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;7;;;;;;;PBO-31-206-328-1002;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;8;;;;;;;PBO-31-206-328-1002;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;9;;;;;;;PBO-31-206-328-1002;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;10;;;;;;;PBO-31-206-328-1002;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;11;;;;;;;PBO-31-206-328-1002;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-328-1002;1;1;;12;;;;;;;PBO-31-206-328-1002;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-328-1004;1;1;;1;;;;;;;PBO-31-206-328-1004;CSE-02;1;CDI-31-206-328-1005;1;1;;1;;;;STOCKEE
