CODE_CABLE_ORIGINE;NUMERO_TUBE_ORIGINE;BAGUE_TUBE_ORIGINE ;COULEUR_TUBE_ORIGINE;NUMERO_FIBRE_ORIGINE;BAGUE_FIBRE_ORIGINE ;COULEUR_FIBRE_ORIGINE;LOVAGE_FIBRE_ORIGINE;CODE_SITE;CODE_NIVEAU;CODE_LOCALTECHNIQUE;CODE_BOITE;CODE_CASSETTE;POSITION_CASSETTE;CODE_CABLE_DESTINATION;NUMERO_TUBE_DESTINATION;BAGUE_TUBE_DESTINATION ;COULEUR_TUBE_DESTINATION;NUMERO_FIBRE_DESTINATION;BAGUE_FIBRE_DESTINATION ;COULEUR_FIBRE_DESTINATION;LOVAGE_FIBRE_DESTINATION;ETAT
CDI-31-206-329-1002;1;1;;1;;;;;;;BTI-31-206-329-1002;CSE-01;1;;;;;;;;;STOCKEE
CDI-31-206-329-1002;1;1;;2;;;;;;;BTI-31-206-329-1002;CSE-01;2;;;;;;;;;STOCKEE
CDI-31-206-329-1002;1;1;;3;;;;;;;BTI-31-206-329-1002;CSE-01;3;;;;;;;;;STOCKEE
CDI-31-206-329-1002;1;1;;4;;;;;;;BTI-31-206-329-1002;CSE-01;4;;;;;;;;;STOCKEE
CDI-31-206-329-1002;1;1;;5;;;;;;;BTI-31-206-329-1002;CSE-01;5;;;;;;;;;STOCKEE
CDI-31-206-329-1002;1;1;;6;;;;;;;BTI-31-206-329-1002;CSE-01;6;;;;;;;;;STOCKEE
CDI-31-206-329-1002;1;1;;7;;;;;;;BTI-31-206-329-1002;CSE-01;7;;;;;;;;;STOCKEE
CDI-31-206-329-1002;1;1;;8;;;;;;;BTI-31-206-329-1002;CSE-01;8;;;;;;;;;STOCKEE
CDI-31-206-329-1002;1;1;;9;;;;;;;BTI-31-206-329-1002;CSE-01;9;;;;;;;;;STOCKEE
CDI-31-206-329-1002;1;1;;10;;;;;;;BTI-31-206-329-1002;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1002;1;1;;11;;;;;;;BTI-31-206-329-1002;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1002;1;1;;12;;;;;;;BTI-31-206-329-1002;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1003;1;1;;1;;;;;;;BTI-31-206-329-1003;CSE-01;1;;;;;;;;;STOCKEE
CDI-31-206-329-1003;1;1;;2;;;;;;;BTI-31-206-329-1003;CSE-01;2;;;;;;;;;STOCKEE
CDI-31-206-329-1003;1;1;;3;;;;;;;BTI-31-206-329-1003;CSE-01;3;;;;;;;;;STOCKEE
CDI-31-206-329-1003;1;1;;4;;;;;;;BTI-31-206-329-1003;CSE-01;4;;;;;;;;;STOCKEE
CDI-31-206-329-1003;1;1;;5;;;;;;;BTI-31-206-329-1003;CSE-01;5;;;;;;;;;STOCKEE
CDI-31-206-329-1003;1;1;;6;;;;;;;BTI-31-206-329-1003;CSE-01;6;;;;;;;;;STOCKEE
CDI-31-206-329-1003;1;1;;7;;;;;;;BTI-31-206-329-1003;CSE-01;7;;;;;;;;;STOCKEE
CDI-31-206-329-1003;1;1;;8;;;;;;;BTI-31-206-329-1003;CSE-01;8;;;;;;;;;STOCKEE
CDI-31-206-329-1003;1;1;;9;;;;;;;BTI-31-206-329-1003;CSE-01;9;;;;;;;;;STOCKEE
CDI-31-206-329-1003;1;1;;10;;;;;;;BTI-31-206-329-1003;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1003;1;1;;11;;;;;;;BTI-31-206-329-1003;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1003;1;1;;12;;;;;;;BTI-31-206-329-1003;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1004;1;1;;1;;;;;;;BTI-31-206-329-1004;CSE-01;1;;;;;;;;;STOCKEE
CDI-31-206-329-1004;1;1;;2;;;;;;;BTI-31-206-329-1004;CSE-01;2;;;;;;;;;STOCKEE
CDI-31-206-329-1004;1;1;;3;;;;;;;BTI-31-206-329-1004;CSE-01;3;;;;;;;;;STOCKEE
CDI-31-206-329-1004;1;1;;4;;;;;;;BTI-31-206-329-1004;CSE-01;4;;;;;;;;;STOCKEE
CDI-31-206-329-1004;1;1;;5;;;;;;;BTI-31-206-329-1004;CSE-01;5;;;;;;;;;STOCKEE
CDI-31-206-329-1004;1;1;;6;;;;;;;BTI-31-206-329-1004;CSE-01;6;;;;;;;;;STOCKEE
CDI-31-206-329-1004;1;1;;7;;;;;;;BTI-31-206-329-1004;CSE-01;7;;;;;;;;;STOCKEE
CDI-31-206-329-1004;1;1;;8;;;;;;;BTI-31-206-329-1004;CSE-01;8;;;;;;;;;STOCKEE
CDI-31-206-329-1004;1;1;;9;;;;;;;BTI-31-206-329-1004;CSE-01;9;;;;;;;;;STOCKEE
CDI-31-206-329-1004;1;1;;10;;;;;;;BTI-31-206-329-1004;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1004;1;1;;11;;;;;;;BTI-31-206-329-1004;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1004;1;1;;12;;;;;;;BTI-31-206-329-1004;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1006;1;1;;1;;;;;;;BTI-31-206-329-1006;CSE-01;1;;;;;;;;;STOCKEE
CDI-31-206-329-1006;1;1;;2;;;;;;;BTI-31-206-329-1006;CSE-01;2;;;;;;;;;STOCKEE
CDI-31-206-329-1006;1;1;;3;;;;;;;BTI-31-206-329-1006;CSE-01;3;;;;;;;;;STOCKEE
CDI-31-206-329-1006;1;1;;4;;;;;;;BTI-31-206-329-1006;CSE-01;4;;;;;;;;;STOCKEE
CDI-31-206-329-1006;1;1;;5;;;;;;;BTI-31-206-329-1006;CSE-01;5;;;;;;;;;STOCKEE
CDI-31-206-329-1006;1;1;;6;;;;;;;BTI-31-206-329-1006;CSE-01;6;;;;;;;;;STOCKEE
CDI-31-206-329-1006;1;1;;7;;;;;;;BTI-31-206-329-1006;CSE-01;7;;;;;;;;;STOCKEE
CDI-31-206-329-1006;1;1;;8;;;;;;;BTI-31-206-329-1006;CSE-01;8;;;;;;;;;STOCKEE
CDI-31-206-329-1006;1;1;;9;;;;;;;BTI-31-206-329-1006;CSE-01;9;;;;;;;;;STOCKEE
CDI-31-206-329-1006;1;1;;10;;;;;;;BTI-31-206-329-1006;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1006;1;1;;11;;;;;;;BTI-31-206-329-1006;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1006;1;1;;12;;;;;;;BTI-31-206-329-1006;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1007;1;1;;1;;;;;;;BTI-31-206-329-1007;CSE-01;1;;;;;;;;;STOCKEE
CDI-31-206-329-1007;1;1;;2;;;;;;;BTI-31-206-329-1007;CSE-01;2;;;;;;;;;STOCKEE
CDI-31-206-329-1007;1;1;;3;;;;;;;BTI-31-206-329-1007;CSE-01;3;;;;;;;;;STOCKEE
CDI-31-206-329-1007;1;1;;4;;;;;;;BTI-31-206-329-1007;CSE-01;4;;;;;;;;;STOCKEE
CDI-31-206-329-1007;1;1;;5;;;;;;;BTI-31-206-329-1007;CSE-01;5;;;;;;;;;STOCKEE
CDI-31-206-329-1007;1;1;;6;;;;;;;BTI-31-206-329-1007;CSE-01;6;;;;;;;;;STOCKEE
CDI-31-206-329-1007;1;1;;7;;;;;;;BTI-31-206-329-1007;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1007;1;1;;8;;;;;;;BTI-31-206-329-1007;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1007;1;1;;9;;;;;;;BTI-31-206-329-1007;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1007;1;1;;10;;;;;;;BTI-31-206-329-1007;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1007;1;1;;11;;;;;;;BTI-31-206-329-1007;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1007;1;1;;12;;;;;;;BTI-31-206-329-1007;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1008;1;1;;1;;;;;;;BTI-31-206-329-1008;CSE-01;1;;;;;;;;;STOCKEE
CDI-31-206-329-1008;1;1;;2;;;;;;;BTI-31-206-329-1008;CSE-01;2;;;;;;;;;STOCKEE
CDI-31-206-329-1008;1;1;;3;;;;;;;BTI-31-206-329-1008;CSE-01;3;;;;;;;;;STOCKEE
CDI-31-206-329-1008;1;1;;4;;;;;;;BTI-31-206-329-1008;CSE-01;4;;;;;;;;;STOCKEE
CDI-31-206-329-1008;1;1;;5;;;;;;;BTI-31-206-329-1008;CSE-01;5;;;;;;;;;STOCKEE
CDI-31-206-329-1008;1;1;;6;;;;;;;BTI-31-206-329-1008;CSE-01;6;;;;;;;;;STOCKEE
CDI-31-206-329-1008;1;1;;7;;;;;;;BTI-31-206-329-1008;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1008;1;1;;8;;;;;;;BTI-31-206-329-1008;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1008;1;1;;9;;;;;;;BTI-31-206-329-1008;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1008;1;1;;10;;;;;;;BTI-31-206-329-1008;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1008;1;1;;11;;;;;;;BTI-31-206-329-1008;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1008;1;1;;12;;;;;;;BTI-31-206-329-1008;FOND DE BOITE;;;;;;;;;;STOCKEE
CDI-31-206-329-1005;1;1;;1;;;;;;;PBO-31-206-329-1005;CSE-01;1;;;;;;;;;STOCKEE
CDI-31-206-329-1005;1;1;;2;;;;;;;PBO-31-206-329-1005;CSE-01;2;;;;;;;;;STOCKEE
CDI-31-206-329-1005;1;1;;3;;;;;;;PBO-31-206-329-1005;CSE-01;3;;;;;;;;;STOCKEE
CDI-31-206-329-1005;1;1;;4;;;;;;;PBO-31-206-329-1005;FOND DE BOITE;;;;;;;;;;STOCKEE
